,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,3,0.8019,"load, name, state, rout, fetch, id, pass, compos, store, hoc",32550061
1,1,3,0.5082,"load, name, state, rout, fetch, id, pass, compos, store, hoc",32668568
2,2,0,0.832,"test, id, type, mock, string, name, expect, load, resolv, pass",33064197
3,3,3,0.9721,"load, name, state, rout, fetch, id, pass, compos, store, hoc",33420757
4,4,3,0.9718,"load, name, state, rout, fetch, id, pass, compos, store, hoc",34590011
5,5,3,0.9219,"load, name, state, rout, fetch, id, pass, compos, store, hoc",34803622
6,6,3,0.9687,"load, name, state, rout, fetch, id, pass, compos, store, hoc",38335860
7,7,0,0.5034,"test, id, type, mock, string, name, expect, load, resolv, pass",38598284
8,8,3,0.959,"load, name, state, rout, fetch, id, pass, compos, store, hoc",38687515
9,9,3,0.7597,"load, name, state, rout, fetch, id, pass, compos, store, hoc",38769841
10,10,3,0.5265,"load, name, state, rout, fetch, id, pass, compos, store, hoc",38914699
11,11,0,0.4986,"test, id, type, mock, string, name, expect, load, resolv, pass",39009234
12,12,3,0.89,"load, name, state, rout, fetch, id, pass, compos, store, hoc",39227457
13,13,0,0.716,"test, id, type, mock, string, name, expect, load, resolv, pass",39299174
14,14,0,0.4958,"test, id, type, mock, string, name, expect, load, resolv, pass",39354743
15,15,1,0.7104,"token, await, vue, store, login, setcontext, authent, authlink_setcontext, forward_oper, oper",39495512
16,16,3,0.8671,"load, name, state, rout, fetch, id, pass, compos, store, hoc",39607391
17,17,3,0.9328,"load, name, state, rout, fetch, id, pass, compos, store, hoc",39814853
18,18,3,0.6722,"load, name, state, rout, fetch, id, pass, compos, store, hoc",39900623
19,19,3,0.9818,"load, name, state, rout, fetch, id, pass, compos, store, hoc",39960903
20,20,0,0.9443,"test, id, type, mock, string, name, expect, load, resolv, pass",40099932
21,21,3,0.9676,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40194684
22,22,3,0.9563,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40323465
23,23,3,0.9512,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40323997
24,24,3,0.9706,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40365103
25,25,3,0.9295,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40368134
26,26,0,0.9002,"test, id, type, mock, string, name, expect, load, resolv, pass",40506189
27,27,3,0.9733,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40539151
28,28,3,0.688,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40562727
29,29,0,0.6095,"test, id, type, mock, string, name, expect, load, resolv, pass",40568167
30,30,0,0.9289,"test, id, type, mock, string, name, expect, load, resolv, pass",40621449
31,31,3,0.957,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40634872
32,32,3,0.5198,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40643719
33,33,3,0.6319,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40643897
34,34,3,0.9822,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40663036
35,35,3,0.801,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40680185
36,36,0,0.943,"test, id, type, mock, string, name, expect, load, resolv, pass",40688110
37,37,1,0.559,"token, await, vue, store, login, setcontext, authent, authlink_setcontext, forward_oper, oper",40754499
38,38,3,0.954,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40767426
39,39,3,0.9879,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40833876
40,40,3,0.9892,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40836841
41,41,3,0.5853,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40903458
42,42,3,0.7115,"load, name, state, rout, fetch, id, pass, compos, store, hoc",40915829
43,43,0,0.973,"test, id, type, mock, string, name, expect, load, resolv, pass",41043893
44,44,3,0.9545,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41110752
45,45,3,0.9873,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41187292
46,46,3,0.8237,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41248277
47,47,3,0.5656,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41306407
48,48,3,0.9657,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41435490
49,49,3,0.9391,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41472878
50,50,3,0.8233,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41624723
51,51,3,0.8901,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41645769
52,52,3,0.9809,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41656052
53,53,3,0.972,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41668454
54,54,2,0.9653,"subscript, token, split, connect, wslink, type, websocket, new_websocketlink, http, oper",41880300
55,55,3,0.9736,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41923420
56,56,3,0.8746,"load, name, state, rout, fetch, id, pass, compos, store, hoc",41927639
57,57,3,0.9794,"load, name, state, rout, fetch, id, pass, compos, store, hoc",42304543
58,58,3,0.4699,"load, name, state, rout, fetch, id, pass, compos, store, hoc",42305998
59,59,3,0.9682,"load, name, state, rout, fetch, id, pass, compos, store, hoc",42374057
60,60,3,0.9224,"load, name, state, rout, fetch, id, pass, compos, store, hoc",42400742
61,61,3,0.6794,"load, name, state, rout, fetch, id, pass, compos, store, hoc",42428754
62,62,3,0.9345,"load, name, state, rout, fetch, id, pass, compos, store, hoc",42496128
