,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.7991,"key, model, connect, updat, owner, amplifi, oper, tabl, rule_allow, dynamodb",16216667
1,1,2,0.5825,"tabl, permiss, account, select, hasura, role, function, updat, const, column",32708730
2,2,2,0.5987,"tabl, permiss, account, select, hasura, role, function, updat, const, column",33577928
3,3,2,0.9015,"tabl, permiss, account, select, hasura, role, function, updat, const, column",35940528
4,4,2,0.9003,"tabl, permiss, account, select, hasura, role, function, updat, const, column",36047291
5,5,1,0.8875,"const, resolv, appsync, function, aw, lambda, code, new, dynamodb, access",37312378
6,6,1,0.9731,"const, resolv, appsync, function, aw, lambda, code, new, dynamodb, access",37663399
7,7,0,0.6288,"key, model, connect, updat, owner, amplifi, oper, tabl, rule_allow, dynamodb",37917240
8,8,2,0.5923,"tabl, permiss, account, select, hasura, role, function, updat, const, column",37981269
9,9,0,0.576,"key, model, connect, updat, owner, amplifi, oper, tabl, rule_allow, dynamodb",38001676
10,10,0,0.5716,"key, model, connect, updat, owner, amplifi, oper, tabl, rule_allow, dynamodb",38266673
11,11,2,0.9693,"tabl, permiss, account, select, hasura, role, function, updat, const, column",38523533
12,12,0,0.6119,"key, model, connect, updat, owner, amplifi, oper, tabl, rule_allow, dynamodb",38680193
13,13,2,0.9207,"tabl, permiss, account, select, hasura, role, function, updat, const, column",38680548
14,14,2,0.8,"tabl, permiss, account, select, hasura, role, function, updat, const, column",38907092
15,15,2,0.9746,"tabl, permiss, account, select, hasura, role, function, updat, const, column",39026832
16,16,0,0.776,"key, model, connect, updat, owner, amplifi, oper, tabl, rule_allow, dynamodb",39045483
17,17,2,0.9549,"tabl, permiss, account, select, hasura, role, function, updat, const, column",39563333
18,18,2,0.9723,"tabl, permiss, account, select, hasura, role, function, updat, const, column",39563334
19,19,2,0.7536,"tabl, permiss, account, select, hasura, role, function, updat, const, column",39806455
20,20,1,0.9077,"const, resolv, appsync, function, aw, lambda, code, new, dynamodb, access",39859584
21,21,0,0.6277,"key, model, connect, updat, owner, amplifi, oper, tabl, rule_allow, dynamodb",40328992
22,22,0,0.8334,"key, model, connect, updat, owner, amplifi, oper, tabl, rule_allow, dynamodb",40421174
23,23,1,0.5614,"const, resolv, appsync, function, aw, lambda, code, new, dynamodb, access",40570671
24,24,0,0.9691,"key, model, connect, updat, owner, amplifi, oper, tabl, rule_allow, dynamodb",40657250
25,25,2,0.861,"tabl, permiss, account, select, hasura, role, function, updat, const, column",40658953
