,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,2,0.3772,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",23774739
1,1,2,0.9455,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",27634403
2,2,3,0.9184,"id, string, name, type, bodi, upload, field, curl, json, method",32515680
3,3,3,0.5904,"id, string, name, type, bodi, upload, field, curl, json, method",32550265
4,4,4,0.9324,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",32618424
5,5,2,0.9455,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",32619584
6,6,3,0.5146,"id, string, name, type, bodi, upload, field, curl, json, method",32662437
7,7,2,0.6522,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",33790788
8,8,2,0.809,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",34321329
9,9,3,0.7128,"id, string, name, type, bodi, upload, field, curl, json, method",34614569
10,10,2,0.9255,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",34616688
11,11,3,0.7612,"id, string, name, type, bodi, upload, field, curl, json, method",34640307
12,12,2,0.598,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",34843562
13,13,4,0.8559,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",34981086
14,14,4,0.5199,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",35004335
15,15,4,0.9839,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",35073622
16,16,2,0.9372,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",35133734
17,17,4,0.4626,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",35270984
18,18,2,0.4426,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",35811116
19,19,4,0.366,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",35969054
20,20,4,0.4896,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",36001558
21,21,4,0.952,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",36037088
22,22,3,0.9407,"id, string, name, type, bodi, upload, field, curl, json, method",36086608
23,23,3,0.8981,"id, string, name, type, bodi, upload, field, curl, json, method",36087134
24,24,0,0.5985,"cooki, session, cor, express, resolv, credenti, apolloserv, new_apolloserv, login, redi",36281044
25,25,3,0.6842,"id, string, name, type, bodi, upload, field, curl, json, method",36521487
26,26,3,0.8655,"id, string, name, type, bodi, upload, field, curl, json, method",36521699
27,27,3,0.9088,"id, string, name, type, bodi, upload, field, curl, json, method",36711999
28,28,2,0.6268,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",37167622
29,29,3,0.966,"id, string, name, type, bodi, upload, field, curl, json, method",37192083
30,30,2,0.948,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",37535374
31,31,2,0.7887,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",37635379
32,32,2,0.6744,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",37636116
33,33,2,0.8978,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",37804970
34,34,4,0.9814,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",38005255
35,35,3,0.6829,"id, string, name, type, bodi, upload, field, curl, json, method",38161376
36,36,2,0.5785,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",38170284
37,37,3,0.6122,"id, string, name, type, bodi, upload, field, curl, json, method",38256398
38,38,2,0.5299,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",38310349
39,39,3,0.4953,"id, string, name, type, bodi, upload, field, curl, json, method",38356658
40,40,2,0.4186,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",38466284
41,41,4,0.6457,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",38468885
42,42,2,0.9685,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",38618385
43,43,2,0.9292,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",38619854
44,44,1,0.7266,"upload, type, resolv, filenam, stream, string, createreadstream, imag, encod, promis",38625054
45,45,4,0.5687,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",38643219
46,46,4,0.4535,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",38646408
47,47,0,0.9365,"cooki, session, cor, express, resolv, credenti, apolloserv, new_apolloserv, login, redi",38724165
48,48,4,0.9709,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",38816657
49,49,3,0.5499,"id, string, name, type, bodi, upload, field, curl, json, method",38904499
50,50,3,0.7347,"id, string, name, type, bodi, upload, field, curl, json, method",38906111
51,51,4,0.865,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",38970764
52,52,4,0.7147,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",39547319
53,53,4,0.7361,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",39664258
54,54,3,0.8638,"id, string, name, type, bodi, upload, field, curl, json, method",39681282
55,55,2,0.7205,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",39781500
56,56,4,0.9611,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",39896212
57,57,2,0.9743,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",39957662
58,58,4,0.9792,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",39971331
59,59,0,0.7193,"cooki, session, cor, express, resolv, credenti, apolloserv, new_apolloserv, login, redi",39989987
60,60,4,0.9446,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",40125568
61,61,2,0.5845,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",40205741
62,62,2,0.9572,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",40244124
63,63,3,0.9101,"id, string, name, type, bodi, upload, field, curl, json, method",40443321
64,64,4,0.6426,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",40471156
65,65,4,0.663,"next, middlewar, endpoint, express, schema, rout, bodi, method, handl, log",40471317
66,66,1,0.9099,"upload, type, resolv, filenam, stream, string, createreadstream, imag, encod, promis",40834906
67,67,3,0.9513,"id, string, name, type, bodi, upload, field, curl, json, method",40897613
68,68,2,0.9545,"authent, jwt, auth, pass, session, check, login, resolv, servic, http",41094447
