Id,PostTypeId,AcceptedAnswerId,ParentId,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,CreationDate
32412043,2,,32337701,5,,"<p>For a Relay compliant GraphQL server, object with a global ID is called a <code>Node</code>, any <code>node</code> could be refetch by query</p>&#xA;&#xA;<pre><code>{&#xA;  node: (id: ""some global id"") {&#xA;    id,&#xA;    ... on SomeType {&#xA;      someField&#xA;    }&#xA;  }&#xA;} &#xA;</code></pre>&#xA;&#xA;<p><code>Node</code> interface is used for that on GraphGL schema, which helps you to define the Type with global id.</p>&#xA;&#xA;<p>Check details on <a href=""http://facebook.github.io/relay/docs/graphql-object-identification.html#content"">Global Object Identification</a> and it's <a href=""http://facebook.github.io/relay/graphql/objectidentification.htm"">Specification</a></p>&#xA;",1127411,,,,2015-09-05 10:33:23,"",,0,0,0,2015-09-05 10:33:23
32497759,1,32508427,,5,3617,"<p>First off my graphql data model:</p>&#xA;&#xA;<pre class=""lang-js prettyprint-override""><code>type Human {&#xA;  id: !String,&#xA;  name: !String,&#xA;  children: [Human]&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>The only route (relay route config) I'm atm using:</p>&#xA;&#xA;<pre class=""lang-js prettyprint-override""><code>class extends Relay.Route {&#xA;  static queries = {&#xA;    human: () =&gt; Relay.QL`query RootQuery { viewer }`&#xA;  };&#xA;  static routeName = 'AppHomeRoute';&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>The list component:</p>&#xA;&#xA;<pre class=""lang-js prettyprint-override""><code>class HumanList extends Component {&#xA;  render() {&#xA;    let {children} = this.props.human;&#xA;&#xA;    let subListsHTML = human ? children.map(child =&gt; (&#xA;      &lt;HumanListItem key={child.id} human={child}/&gt;&#xA;    )) : '';&#xA;&#xA;    return &lt;ul&gt;{subListsHTML}&lt;/ul&gt;;&#xA;  }&#xA;}&#xA;&#xA;export default Relay.createContainer(HumanList, {&#xA;  fragments: {&#xA;    human: () =&gt;  Relay.QL`&#xA;      fragment on Human {&#xA;        children {&#xA;          id,&#xA;          ${HumanListItem.getFragment('human')}&#xA;        }&#xA;      }&#xA;    `&#xA;  }&#xA;});&#xA;</code></pre>&#xA;&#xA;<p>The list item component:</p>&#xA;&#xA;<pre class=""lang-js prettyprint-override""><code>class HumanListItem extends Component {&#xA;  state = {expanded: false};&#xA;&#xA;  render() {&#xA;    let {human} = this.props;&#xA;&#xA;    let sublistHTML = '';&#xA;    if (this.state.expanded) {&#xA;      sublistHTML = &lt;ul&gt;&lt;HumanList human={human}/&gt;&lt;/ul&gt;;&#xA;    }&#xA;&#xA;    return (&#xA;      &lt;li&gt;&#xA;        &lt;div onClick={this.onClickHead.bind(this)}&gt;{human.name}&lt;/div&gt;&#xA;        {sublistHTML}&#xA;      &lt;/li&gt;&#xA;    );&#xA;  }&#xA;&#xA;  onClickHead() {&#xA;    this.props.relay.setVariables({expanded: true});&#xA;    this.setState({expanded: true});&#xA;  }&#xA;&#xA;}&#xA;&#xA;HumanListItem.defaultProps = {viewer: {}};&#xA;&#xA;export default Relay.createContainer(HumanListItem, {&#xA;&#xA;  initialVariables: {&#xA;    expanded: false&#xA;  },&#xA;&#xA;  fragments: {&#xA;    human: (variables) =&gt;  Relay.QL`&#xA;      fragment on Human {&#xA;        name,&#xA;        ${HumanList.getFragment('human').if(variables.expanded)}&#xA;      }&#xA;    `&#xA;  }&#xA;&#xA;});&#xA;</code></pre>&#xA;&#xA;<p>Which runs fine for the root list. But as soon as I click on a ListItem and it is expanded, I get the following error:</p>&#xA;&#xA;<p><code>Warning: RelayContainer: Expected prop 'human' supplied 'HumanList' to be data fetched by Relay. This is likely an error unless you are purposely passing in mock data that conforms to the shape of this component's fragment.</code></p>&#xA;&#xA;<p>I can't make much sense of it, since the data I'm passing is not mocked but directly fetched by Relay as can be seen in the HumanList comp.</p>&#xA;",1501916,,,,2015-09-10 18:11:29,"Recursive data & components, later fetches throwing an error",<reactjs><graphql><relayjs>,1,0,0,2015-09-10 09:15:58
32498191,2,,32442814,0,,"<p>I suppose you have a <code>depth</code> attribute of the <code>Comment</code> data structure, which should be pretty useful, for example, to limit the max nested depth when the users are posting comments.</p>&#xA;&#xA;<p>So that your problem could be solved like this: in the <code>resolver</code> of the <code>comments</code> attribute, check the <code>depth</code>, return nothing if the <code>depth</code> is going illegal, otherwise fetch the comments and return.</p>&#xA;",783794,,,,2015-09-10 09:35:05,"",,0,0,0,2015-09-10 09:35:05
32508427,2,,32497759,10,,"<p>The error indicates that the <code>&lt;HumanList&gt;</code> is being rendered before its data is ready. </p>&#xA;&#xA;&#xA;&#xA;<pre class=""lang-js prettyprint-override""><code>class HumanListItem extends Component {&#xA;  onClickHead() {&#xA;    this.props.relay.setVariables({expanded: true});&#xA;    this.setState({expanded: true});  // &lt;-- this causes the component to re-render before data is ready&#xA;  }&#xA;</code></pre>&#xA;&#xA;<p>Rather than using state, you can instead look at the current value of the variables:</p>&#xA;&#xA;&#xA;&#xA;<pre class=""lang-js prettyprint-override""><code>class HumanListItem extends Component {&#xA;  // no need for `state.expanded`&#xA;&#xA;  render() {&#xA;    let {human} = this.props;&#xA;&#xA;    let sublistHTML = '';&#xA;    if (this.props.relay.variables.expanded) {&#xA;      // `variables` are the *currently fetched* data&#xA;      // if `variables.expanded` is true, expanded data is fetched&#xA;      sublistHTML = &lt;ul&gt;&lt;HumanList human={human}/&gt;&lt;/ul&gt;;&#xA;    }&#xA;&#xA;    return (&#xA;      &lt;li&gt;&#xA;        &lt;div onClick={this.onClickHead.bind(this)}&gt;{human.name}&lt;/div&gt;&#xA;        {sublistHTML}&#xA;      &lt;/li&gt;&#xA;    );&#xA;  }&#xA;&#xA;  onClickHead() {&#xA;    this.props.relay.setVariables({expanded: true});&#xA;    // no need for `setState()`&#xA;  }&#xA;&#xA;}&#xA;&#xA;HumanListItem.defaultProps = {viewer: {}};&#xA;&#xA;export default Relay.createContainer(HumanListItem, {&#xA;&#xA;  initialVariables: {&#xA;    expanded: false&#xA;  },&#xA;&#xA;  fragments: {&#xA;    human: (variables) =&gt;  Relay.QL`&#xA;      fragment on Human {&#xA;        name,&#xA;        ${HumanList.getFragment('human').if(variables.expanded)}&#xA;      }&#xA;    `&#xA;  }&#xA;&#xA;});&#xA;</code></pre>&#xA;",4690687,,4690687,2015-09-10 18:11:29,2015-09-10 18:11:29,"",,0,1,0,2015-09-10 17:41:36
32508505,2,,32491117,12,,"<p>You probably want a <code>@relay(plural: true)</code> directive on your <code>cards</code> query fragment. There is an example of a plural field in action <a href=""https://github.com/facebook/relay/blob/2d822400dbcf14f9636ab3149477f4ff0a0ee466/examples/star-wars/js/components/StarWarsApp.js#L26"" rel=""noreferrer"">in the Star Wars example</a> in the Relay repo.</p>&#xA;&#xA;<p>If you care about pagination, though, you probably want a connection instead of a plural field. Connections are described <a href=""http://facebook.github.io/relay/docs/graphql-connections.html#content"" rel=""noreferrer"">in the Relay docs</a> and implemented in <a href=""https://github.com/graphql/graphql-relay-js#connections"" rel=""noreferrer"">graphql-relay-js</a>.</p>&#xA;",2103996,,2653,2015-10-14 04:14:41,2015-10-14 04:14:41,"",,0,3,0,2015-09-10 17:45:55
32588021,1,32591989,,6,1117,<p>I've looked through all of Relay's documentation and there doesn't seem to be a straightforward explanation on how to build a Relay connection with an ORM. All the examples seem to use the <code>connectionFromArray</code> method which is fine if you're storing your data in memory but when you're storing the data in a database how would you go about providing the information necessary for a connection's pagination to work?</p>&#xA;,3105183,,3105183,2015-09-15 14:21:22,2015-09-15 17:17:45,How do you define a relay connection for pagination against an ORM?,<javascript><node.js><graphql><relayjs><graphql-js>,1,0,0,2015-09-15 13:57:12
32591989,2,,32588021,6,,"<p>The cursor is <a href=""http://facebook.github.io/relay/graphql/connections.htm#sec-Cursor"" rel=""noreferrer"">opaque</a>:</p>&#xA;&#xA;<blockquote>&#xA;  <p>The result of this field is considered opaque by Relay, but will be passed back to the server as described in the ""Arguments"" section below.</p>&#xA;</blockquote>&#xA;&#xA;<p>So, depending on your data model, it may be appropriate to pass something as simple as an ID string as a cursor, which you could then use on the server to load the connection using a clause like <code>WHERE id &gt; ?</code>. You could pack arbitrary info in here necessary for pagination here and Base-64 encode it, for example.</p>&#xA;&#xA;<p>It you look at <a href=""https://github.com/graphql/graphql-relay-js/blob/2a5fdb48145e143e67a318ee2ebb10fb4fbe9c5e/src/connection/arrayconnection.js#L27-L73"" rel=""noreferrer"">the code which returns a connection from an array</a>, you'll get a rough idea of the semantics you'll need do implement on top of your ORM-backed storage, but instead of indexing into the array like it does, you'll be synthesizing an opaque cursor that contains enough info to do subsequent pagination with your ORM.</p>&#xA;",2103996,,,,2015-09-15 17:17:45,"",,0,1,0,2015-09-15 17:17:45
32613879,1,32615799,,3,589,"<p>The <code>RANGE_ADD</code> mutation requires an <code>edgeName</code> so that it can insert the new edge into the client side connection. As part of its query, it also includes the <code>cursor</code>.</p>&#xA;&#xA;<p>The issue is that the server has no way of knowing which args the client might be applying to a connection when it's generating the edge response.</p>&#xA;&#xA;<p>Does this mean that the <code>cursor</code> should be stable?</p>&#xA;",2540138,,,,2015-09-16 18:14:49,Should the opaque cursors in connections be stable across different field args?,<graphql><relayjs>,1,0,0,2015-09-16 16:21:20
32615683,1,32619017,,4,1933,"<p>Using Relay and GraphQL, let's say that I have a schema that returns a viewer, and an embedded list of associated documents. The root query (composed with fragments) would look like something like this:</p>&#xA;&#xA;<pre><code>query Root {&#xA;  viewer {&#xA;    id,&#xA;    name,&#xA;    groups {&#xA;      edges {&#xA;        node {&#xA;          id,&#xA;          name,&#xA;        }&#xA;      }&#xA;    }&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>This will allow me to display the user, and a list of all of its associated groups. </p>&#xA;&#xA;<p>Now let's say that I want the user to be able to click on that list item, and have it expand to show the comments associated with that particular list item. How should I restructure my query for the relay route such that I can receive those comments? If I add a comments edge to my groups edge, then won't it fetch the comments for all of the groups?</p>&#xA;&#xA;<pre><code>query Root {&#xA;  viewer {&#xA;    id,&#xA;    name,&#xA;    groups {&#xA;      edges {&#xA;        node {&#xA;          id,&#xA;          name,&#xA;          comments {&#xA;            edges {&#xA;              node {&#xA;                id,&#xA;                content&#xA;              }&#xA;            }&#xA;          }&#xA;        }&#xA;      }&#xA;    }&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Or should I alter the route query to find a specific group?</p>&#xA;&#xA;<pre><code>query Root {&#xA;  group(id: ""someid""){&#xA;    id,&#xA;    name,&#xA;    comments {&#xA;      edges {&#xA;        node {&#xA;          id,&#xA;          content&#xA;        }&#xA;      }&#xA;    }&#xA;  },&#xA;  viewer {&#xA;    id,&#xA;    name,&#xA;    groups {&#xA;      edges {&#xA;        node {&#xA;          id,&#xA;          name,&#xA;        }&#xA;      }&#xA;    }&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>My concern is, in particular, using this within the context of <code>relay</code>. I.e., how can I efficiently construct a route query that will only fetch the comments for the expanded list item (or items), while still taking advantage of the cached data that already exists, and will be updated when doing mutations? The above example might work for a specific expanded group, but I'm not sure how I could expand multiple groups simultaneously without fetching those fields for <em>all</em> of the group items. </p>&#xA;",1198166,,,,2015-09-16 21:25:57,fetching additional information for a particular list item in relay/graphql,<graphql><relayjs><graphql-js>,1,0,0,2015-09-16 18:07:55
32615799,2,,32613879,10,,"<p>In general, cursors are not required to be the same when connections are used with different arguments. For example, if I did:</p>&#xA;&#xA;<pre><code>{&#xA;  namedFriends: friends(orderby:NAME first:5) {&#xA;    edges { cursor, node { id } }&#xA;  }&#xA;  favoriteFriends: friends(orderby:FAVORITE first:5) {&#xA;    edges { cursor, node { id } }&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Different backends might be use to server those two connections, since we might have different backends for the two orderings; because of that, the cursors might be different for the same friend, because they might need to encode different information for the different backends.</p>&#xA;&#xA;<p>This makes it tricky when performing a mutation, though:</p>&#xA;&#xA;<pre><code>mutation M {&#xA;  addFriend($input) {&#xA;    newFriendsEdge {&#xA;      { cursor, node { id } } // Which cursor is this?&#xA;    }&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>In cases like this, where the mutation is going to return an edge from a connection, it's useful for the <em>field</em> to accept the same non-pagination arguments that the connection does. So in the above case, we would do:</p>&#xA;&#xA;<pre><code>mutation M {&#xA;  addFriend($input) {&#xA;    newNamedFriendsEdge: newFriendsEdge(orderby:NAME) {&#xA;      { cursor, node { id } } // Cursor for namedFriends&#xA;    }&#xA;    newFavoriteFriendsEdge: newFriendsEdge(orderby:FAVORITE) {&#xA;      { cursor, node { id } } // Cursor for favoriteFriends&#xA;    }&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>And ideally, the implementation for <code>newFriendsEdge(orderby:FAVORITE)</code> and <code>favoriteFriends: friends(orderby:FAVORITE first:5)</code> share common code to generate cursors.</p>&#xA;&#xA;<p>Note that while the cursors are not required to be the same, it's fine if they are, as an implementation detail of the server. Often, the cursor is just the ID of the node, which is a common way for this to happen. In practice, in these situations, if a argument on the connections <em>doesn't</em> affect the cursor, we would omit it from the mutation's edge field; so if <code>orderby</code> didn't affect the cursor, then:</p>&#xA;&#xA;<pre><code>mutation M {&#xA;  addFriend($input) {&#xA;    newFriendsEdge {&#xA;      { cursor, node { id } } // orderby didn't exist on newFriendsEdge, so this cursor must apply to both.&#xA;    }&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>This is the common pattern in our mutations. Let me know if you run into any issues; we thought through the ""arguments change cursors"" case when developing the pattern of returning edges on mutations to make sure there was a possible solution to it (which is when we came up with the arguments on edge fields idea), but it hasn't come up in practice all that much, so if you run into trickiness definitely let me know, and we can and should revisit these assumptions / requirements!</p>&#xA;",5343575,,,,2015-09-16 18:14:49,"",,0,0,0,2015-09-16 18:14:49
