,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,2,0.8439,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",33556240
1,1,2,0.6379,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",33819658
2,2,2,0.9668,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",34185971
3,3,2,0.8071,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",34226484
4,4,1,0.5767,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",34743420
5,5,0,0.9608,"const, direct, properti, includ, error, function, defin, team, array, method",34796788
6,6,0,0.6298,"const, direct, properti, includ, error, function, defin, team, array, method",34820629
7,7,2,0.9729,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",34951905
8,8,0,0.9693,"const, direct, properti, includ, error, function, defin, team, array, method",35002177
9,9,2,0.9744,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",35148800
10,10,2,0.8314,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",35251622
11,11,3,0.9463,"def, argument, error, graphen, pass, self_info, self, code, none, info",35594802
12,12,1,0.9825,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",35757593
13,13,0,0.5329,"const, direct, properti, includ, error, function, defin, team, array, method",35901881
14,14,2,0.8705,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",35946134
15,15,0,0.6886,"const, direct, properti, includ, error, function, defin, team, array, method",35973445
16,16,2,0.6545,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",35989918
17,17,0,0.6856,"const, direct, properti, includ, error, function, defin, team, array, method",36274301
18,18,1,0.7284,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",36441286
19,19,2,0.8119,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",36451910
20,20,0,0.9145,"const, direct, properti, includ, error, function, defin, team, array, method",36471020
21,21,3,0.5344,"def, argument, error, graphen, pass, self_info, self, code, none, info",36583360
22,22,0,0.4889,"const, direct, properti, includ, error, function, defin, team, array, method",36587286
23,23,2,0.4493,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",36955601
24,24,1,0.948,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",36956021
25,25,2,0.505,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",36963852
26,26,1,0.5101,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",37020989
27,27,0,0.5957,"const, direct, properti, includ, error, function, defin, team, array, method",37337088
28,28,0,0.668,"const, direct, properti, includ, error, function, defin, team, array, method",37356630
29,29,2,0.919,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",37376631
30,30,3,0.7242,"def, argument, error, graphen, pass, self_info, self, code, none, info",37487420
31,31,2,0.7394,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",37510286
32,32,2,0.7226,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",37665539
33,33,0,0.5552,"const, direct, properti, includ, error, function, defin, team, array, method",37848391
34,34,2,0.9353,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",38041218
35,35,2,0.8413,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",38165770
36,36,2,0.7989,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",38166588
37,37,3,0.3528,"def, argument, error, graphen, pass, self_info, self, code, none, info",38295089
38,38,2,0.5684,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",38336916
39,39,2,0.9473,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",38339442
40,40,2,0.6544,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",38340892
41,41,2,0.9287,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",38341247
42,42,2,0.5731,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",38392694
43,43,3,0.8629,"def, argument, error, graphen, pass, self_info, self, code, none, info",38486466
44,44,2,0.9111,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",38575742
45,45,0,0.6729,"const, direct, properti, includ, error, function, defin, team, array, method",38654447
46,46,3,0.8677,"def, argument, error, graphen, pass, self_info, self, code, none, info",38982052
47,47,3,0.9028,"def, argument, error, graphen, pass, self_info, self, code, none, info",39026831
48,48,2,0.5829,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",39060521
49,49,2,0.5962,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",39136062
50,50,1,0.978,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",39233566
51,51,2,0.6067,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",39310955
52,52,2,0.7969,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",39310987
53,53,2,0.967,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",39311202
54,54,1,0.6708,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",39358849
55,55,2,0.9346,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",39378737
56,56,3,0.547,"def, argument, error, graphen, pass, self_info, self, code, none, info",39381436
57,57,3,0.9744,"def, argument, error, graphen, pass, self_info, self, code, none, info",39396675
58,58,3,0.8782,"def, argument, error, graphen, pass, self_info, self, code, none, info",39403047
59,59,2,0.7052,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",39472164
60,60,3,0.923,"def, argument, error, graphen, pass, self_info, self, code, none, info",39584629
61,61,0,0.4159,"const, direct, properti, includ, error, function, defin, team, array, method",39598124
62,62,2,0.9336,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",39615692
63,63,0,0.9425,"const, direct, properti, includ, error, function, defin, team, array, method",39700018
64,64,3,0.7718,"def, argument, error, graphen, pass, self_info, self, code, none, info",39752667
65,65,3,0.9348,"def, argument, error, graphen, pass, self_info, self, code, none, info",39774434
66,66,2,0.8857,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",39930526
67,67,1,0.6379,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",40118581
68,68,1,0.9458,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",40128251
69,69,2,0.7226,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",40184367
70,70,2,0.8995,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",40189159
71,71,0,0.9467,"const, direct, properti, includ, error, function, defin, team, array, method",40261771
72,72,3,0.5656,"def, argument, error, graphen, pass, self_info, self, code, none, info",40326065
73,73,0,0.5124,"const, direct, properti, includ, error, function, defin, team, array, method",40329070
74,74,3,0.972,"def, argument, error, graphen, pass, self_info, self, code, none, info",40381998
75,75,3,0.9647,"def, argument, error, graphen, pass, self_info, self, code, none, info",40403534
76,76,3,0.951,"def, argument, error, graphen, pass, self_info, self, code, none, info",40427247
77,77,3,0.9225,"def, argument, error, graphen, pass, self_info, self, code, none, info",40443994
78,78,1,0.9498,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",40509075
79,79,3,0.9627,"def, argument, error, graphen, pass, self_info, self, code, none, info",40556681
80,80,0,0.5839,"const, direct, properti, includ, error, function, defin, team, array, method",40568328
81,81,2,0.9671,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",40656283
82,82,2,0.6743,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",40657620
83,83,2,0.6466,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",40759883
84,84,0,0.9468,"const, direct, properti, includ, error, function, defin, team, array, method",40783246
85,85,1,0.7932,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",40808347
86,86,2,0.9272,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",40846259
87,87,2,0.9639,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",40915618
88,88,2,0.957,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",40915961
89,89,1,0.9792,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",40964300
90,90,0,0.5705,"const, direct, properti, includ, error, function, defin, team, array, method",41092127
91,91,0,0.9725,"const, direct, properti, includ, error, function, defin, team, array, method",41092158
92,92,0,0.6188,"const, direct, properti, includ, error, function, defin, team, array, method",41092199
93,93,2,0.6175,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",41121532
94,94,0,0.6781,"const, direct, properti, includ, error, function, defin, team, array, method",41128066
95,95,1,0.8874,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",41133634
96,96,0,0.5552,"const, direct, properti, includ, error, function, defin, team, array, method",41175455
97,97,2,0.9275,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",41187090
98,98,2,0.7408,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",41245380
99,99,0,0.5784,"const, direct, properti, includ, error, function, defin, team, array, method",41249289
100,100,3,0.9501,"def, argument, error, graphen, pass, self_info, self, code, none, info",41261260
101,101,2,0.5437,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",41263987
102,102,1,0.9146,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",41298349
103,103,2,0.9705,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",41307673
104,104,3,0.5026,"def, argument, error, graphen, pass, self_info, self, code, none, info",41325218
105,105,3,0.5794,"def, argument, error, graphen, pass, self_info, self, code, none, info",41349575
106,106,3,0.8275,"def, argument, error, graphen, pass, self_info, self, code, none, info",41371233
107,107,2,0.8694,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",41416723
108,108,3,0.7796,"def, argument, error, graphen, pass, self_info, self, code, none, info",41430878
109,109,2,0.5816,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",41433930
110,110,2,0.8412,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",41480834
111,111,2,0.9814,"enum, interfac, defin, valid, scalar, argument, direct, union, document, specif",41515879
112,112,3,0.6804,"def, argument, error, graphen, pass, self_info, self, code, none, info",41544186
113,113,1,0.7208,"relat, tabl, uniqu, relationship, column, userid, entiti, const, databas, refer",41572710
