Id,PostTypeId,AcceptedAnswerId,ParentId,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,CreationDate
20976527,2,,20597388,0,,<p>Are you sure your sending the stomp COMMIT frame?  Receivers wont get transacted SEND frames until the related transaction commits.</p>&#xA;,305364,,,,2014-01-07 16:15:34,"",,0,0,0,2014-01-07 16:15:34
32350219,2,,32349022,1,,"<p>This github example fulfill my needs perfectly.</p>&#xA;&#xA;<p><a href=""https://github.com/sayden/graphql-mongodb-example"" rel=""nofollow"">https://github.com/sayden/graphql-mongodb-example</a></p>&#xA;",5291262,,,,2015-09-02 10:03:54,"",,0,0,0,2015-09-02 10:03:54
32507381,1,32515680,,0,2597,"<p>I am new to Swift. I want to parse a graphql webservice where i need to send the content type to header as &quot;application/graphql&quot;. In general in Objective-C if we are using AFNetworking we can set up the content type as below.</p>&#xA;<pre><code>[requestSerializer setValue:@&quot;application/json&quot; forHTTPHeaderField:@&quot;Accept&quot;];&#xA;</code></pre>&#xA;<p>In Swift i am using Alamofire, i don't have any idea regarding this, that how to set the content type. Being a new comer for Swift, please advised me without hesitation.</p>&#xA;<p>One more thing is graphql service don't accept a proper JSON, Please refer <a href=""https://facebook.github.io/react/blog/2015/05/01/graphql-introduction.html"" rel=""nofollow noreferrer"">here</a></p>&#xA;<p>Please suggest me how to post the values to server? by preparing a string is only an answer? (Sorry if i misunderstood graphql). But please don't hesitate. Give your valuable suggestions.Thanks.</p>&#xA;",1090798,,-1,2020-06-20 09:12:55,2015-09-11 04:50:08,How to send content type in a request while doing parsing using Alamofire networking in Swift?,<swift><parsing><afnetworking><alamofire><graphql>,1,0,0,2015-09-10 16:40:49
34186397,2,,33819658,11,,"<p>You have two options.</p>&#xA;&#xA;<h1>1. Interface</h1>&#xA;&#xA;<p>If the <code>editOptions</code> may vary based on the type, but are consistent for that particular type, you can use an <a href=""http://facebook.github.io/graphql/#sec-Interfaces"" rel=""noreferrer"">Interface</a> (<a href=""http://graphql.org/docs/api-reference-type-system/#graphqlinterfacetype"" rel=""noreferrer"">node.js example</a>).</p>&#xA;&#xA;<p>Let's say you have two objects, a box and a sphere. You can define an object interface that both implement:</p>&#xA;&#xA;<pre><code>interface Object&#xA;type Box implements Object {&#xA;  editOptions: BoxOptions&#xA;}&#xA;type BoxOptions {&#xA;  boxes: Int,&#xA;  size: ...,&#xA;  color: ...&#xA;}&#xA;type Sphere implements Object {&#xA;  editOptions: SphereOptions&#xA;}&#xA;type SphereOptions {&#xA;  spheres: Int,&#xA;  ...&#xA;}&#xA;type Query {&#xA;  objects: [Object]&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>In your query, you'd then return an <code>Object</code>, and the requested options based for each type:</p>&#xA;&#xA;<pre><code>query Query {&#xA;  objects(filter: ""..."") {&#xA;    ... on Box {&#xA;      editOptions {&#xA;        boxes&#xA;        size&#xA;      }&#xA;    }&#xA;    ... on Sphere {&#xA;      editOptions {&#xA;        spheres&#xA;      }&#xA;    }&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>In the returned JSON, boxes will have <code>boxes</code> and <code>size</code> fields under <code>editOptions</code>, and spheres will have <code>spheres</code>.</p>&#xA;&#xA;<blockquote>&#xA;  <p>sometimes not be useful to have the color</p>&#xA;</blockquote>&#xA;&#xA;<p>If for some of the boxes you don't have the color, the field would simply be empty (but still exist in the schema).</p>&#xA;&#xA;<h1>2. JSON</h1>&#xA;&#xA;<p>If the <code>editOptions</code> can be really variable, you can just define the field as String, and send over serialized JSON. You'll lose all the type validations but the structure can be totally arbitrary for each object. Just make sure your client understands what to do with it.</p>&#xA;",384349,,,,2015-12-09 18:30:28,"",,0,1,0,2015-12-09 18:30:28
34952792,1,35004335,,13,4266,"<p>I was thinking of writing an API that does the following things:</p>&#xA;&#xA;<ul>&#xA;<li>Sign-up and sign-in users which provide the user with an authentication token</li>&#xA;<li>Create maps (data example: <code>{ name: “Quotes”, attributes: [“quote”, “author""] }</code>)</li>&#xA;<li>Create map items (data example: <code>{ quote: ""..."", author: ""..."" }</code>)</li>&#xA;</ul>&#xA;&#xA;<p>I would build the queries somewhat like this:</p>&#xA;&#xA;<pre><code>// return the name and id of all the user's maps&#xA;maps(authToken=""…"") {&#xA;  name,&#xA;  id&#xA;}&#xA;&#xA;// return all the items of a single map&#xA;maps(authToken=""…"") {&#xA;  map(name=“Quotes"") {&#xA;    items&#xA;  }&#xA;}&#xA;&#xA;// OR by using the map_id&#xA;maps(authToken=""…"") {&#xA;  map(id=“…"") {&#xA;    items&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p><strong>So, my question is, is this correct or would I need to structure it differently?</strong></p>&#xA;",331402,,,,2017-01-06 10:03:15,How do I structure authenticated queries with GraphQL?,<api><authentication><graphql>,2,0,0,2016-01-22 17:37:35
35968581,1,35973445,,12,8481,"<p>I was wondering what the significance of the string that follows the query type, in this case ""ProvisionQueues"", it seems removing this from the string doesn't affect anything - is it just for logging or something. meta data?</p>&#xA;&#xA;<pre><code>mutation ProvisionQueues {&#xA; createQueue(name: ""new-queue"") {&#xA;    url&#xA;  }&#xA;}&#xA;</code></pre>&#xA;",1650757,,,,2021-07-05 05:08:08,The significance of the string immediately after query type (query / mutation) GraphQL,<graphql><graphql-js>,2,0,0,2016-03-13 09:21:56
36272143,1,36276824,,2,576,"<p>Last time I checked, Relay.js did not support session-based NetworkLayer (only one NetworkLayer could be used at the same time).</p>&#xA;&#xA;<p>Thus, queue-hack (<a href=""https://github.com/codefoundries/isomorphic-material-relay-starter-kit/blob/master/webapp/renderOnServer.js#L66"" rel=""nofollow"">https://github.com/codefoundries/isomorphic-material-relay-starter-kit/blob/master/webapp/renderOnServer.js#L66</a>) was required to support multiple sessions. It cannot be used in production as each render is completely blocking another render (including data fetching).</p>&#xA;&#xA;<p>What's the current status on this issue?&#xA;Where can I follow the progress (github issues) and possibly help?</p>&#xA;",692528,,2266855,2016-09-23 15:18:44,2016-09-23 15:18:44,Does Relay.js support isomorphic server-side rendering with multiple sessions?,<graphql><relayjs><isomorphic-javascript><isomorphic-relay>,3,0,0,2016-03-28 22:14:52
36981025,2,,36978916,6,,"<p>AST is ""Abstract Syntax Tree"". AST is what parsers often outputs as a result, it's a machine-readable structure that represents the actual code (GraphQL query in this case). Thus <code>fieldASTs</code> are parsed fields of the current selection, represented as their Abstract Syntax Trees.</p>&#xA;",68544,,,,2016-05-02 11:09:59,"",,0,2,0,2016-05-02 11:09:59
37059523,1,37103686,,21,27703,"<p>I'm putting a GraphQL wrapper over an exiting REST API as described in <a href=""https://www.youtube.com/watch?v=UBGzsb2UkeY"" rel=""noreferrer"">Zero to GraphQL in 30 minutes</a>. I've got an API endpoint for a product with one property that points to a nested object:</p>&#xA;&#xA;<pre><code>// API Response&#xA;{&#xA;  entity_id: 1,&#xA;  nested_object: {&#xA;    key1: val1,&#xA;    key2: val2,&#xA;    ...&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Is it possible to define the schema so that I can get this entire nested object without explicitly defining the nested object and all of its properties? I want my query to just specify that I want the nested object, and not need to specify all the properties I want from the nested object:</p>&#xA;&#xA;<pre><code>// What I want&#xA;{&#xA;  product(id: ""1"") {&#xA;    entityId&#xA;    nestedObject&#xA;  }&#xA;}&#xA;&#xA;// What I don't want&#xA;{&#xA;  product(id: ""1"") {&#xA;    entityId&#xA;    nestedObject {&#xA;      key1&#xA;      key2&#xA;      ...&#xA;    }&#xA;  }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>I can do the second version, but it requires lots of extra code, including creating a <code>NestedObjectType</code> and specifying all the nested properties. I've also figured out how to automatically get a list of all the keys, like so:</p>&#xA;&#xA;<pre><code>const ProductType = new GraphQLObjectType({&#xA;  ...&#xA;&#xA;  fields: () =&gt; ({&#xA;    nestedObject: {&#xA;      type: new GraphQLList(GraphQLString),&#xA;      resolve: product =&gt; Object.keys(product.nested_object)&#xA;    }&#xA;  })&#xA;})&#xA;</code></pre>&#xA;&#xA;<p>I haven't figured out a way to automatically return the entire object, though.</p>&#xA;",4175836,,,,2019-07-06 05:43:09,GraphQL - Get all fields from nested JSON object,<graphql>,2,5,0,2016-05-05 20:18:20
37820696,2,,37800555,0,,"<p>I resolved the issue in the root query. I noted that posts in the <a href=""http://docs.apollostack.com/apollo-server/guide.html#Schema"" rel=""nofollow"">docs</a> returned a post array, [Post] and applied that concept. </p>&#xA;&#xA;<p>In schema.js, I changed Query to an array with [Biz]:</p>&#xA;&#xA;<pre><code>type Query {&#xA;  biz(name: String, address: String): [Biz]&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>then in resolvers.js I changed the resolvers.Query return statement syntax to the following: </p>&#xA;&#xA;<pre><code>Query: {&#xA;        biz(_, {name, address}) {&#xA;            return Biz.find();&#xA;        }&#xA;    } &#xA;</code></pre>&#xA;",2336356,,,,2016-06-14 19:37:58,"",,0,0,0,2016-06-14 19:37:58
