,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.7325,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",20976527
1,1,0,0.7148,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",32350219
2,2,1,0.9715,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",32507381
3,3,1,0.979,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",34186397
4,4,1,0.6287,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",34952792
5,5,1,0.895,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",35968581
6,6,1,0.6163,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",36272143
7,7,1,0.9398,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",36981025
8,8,1,0.9837,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",37059523
9,9,1,0.9301,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",37820696
10,10,1,0.9489,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",38861408
11,11,1,0.9649,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",39227587
12,12,1,0.8041,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",39310994
13,13,0,0.9094,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",39550394
14,14,0,0.9581,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",39550480
15,15,0,0.9302,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",39551325
16,16,0,0.9461,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",39551431
17,17,1,0.8756,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",39579506
18,18,0,0.9526,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",39666940
19,19,0,0.9671,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",39674310
20,20,1,0.9126,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",40012959
21,21,1,0.9686,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",40297436
22,22,0,0.5575,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",40424142
23,23,1,0.9862,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",40427609
24,24,0,0.7704,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",40539819
25,25,0,0.7703,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",40539826
26,26,1,0.7605,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",40655390
27,27,1,0.6059,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",40697597
28,28,0,0.9517,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",40743273
29,29,0,0.9705,"repositori, github, edg, commit, search, repo, totalcount, branch, login, index",40743407
30,30,1,0.9509,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",40898691
31,31,1,0.5219,"resolv, code, order, content, schema, new, function, shopifi, pass, productid",40904108
