,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,1,0.9633,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",32160825
1,1,2,0.5852,"parent, properti, pass, array, argument, root, await, info, key, defin",32166851
2,2,1,0.9661,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",32171643
3,3,0,0.5244,"_id, await, userid, mongoos, usernam, promis, _, comment, email, model",32203569
4,4,1,0.545,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",32226857
5,5,2,0.5173,"parent, properti, pass, array, argument, root, await, info, key, defin",32230476
6,6,1,0.6092,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",32265794
7,7,0,0.5808,"_id, await, userid, mongoos, usernam, promis, _, comment, email, model",32304486
8,8,0,0.8925,"_id, await, userid, mongoos, usernam, promis, _, comment, email, model",32346531
9,9,0,0.9017,"_id, await, userid, mongoos, usernam, promis, _, comment, email, model",32389740
10,10,1,0.7451,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",32477542
11,11,0,0.5083,"_id, await, userid, mongoos, usernam, promis, _, comment, email, model",32480102
12,12,1,0.9129,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",32515889
13,13,2,0.7423,"parent, properti, pass, array, argument, root, await, info, key, defin",32551022
14,14,2,0.788,"parent, properti, pass, array, argument, root, await, info, key, defin",32560321
15,15,2,0.5671,"parent, properti, pass, array, argument, root, await, info, key, defin",32616055
16,16,2,0.6403,"parent, properti, pass, array, argument, root, await, info, key, defin",32739164
17,17,1,0.6705,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",32756158
18,18,0,0.807,"_id, await, userid, mongoos, usernam, promis, _, comment, email, model",32777796
19,19,2,0.663,"parent, properti, pass, array, argument, root, await, info, key, defin",32815083
20,20,0,0.5364,"_id, await, userid, mongoos, usernam, promis, _, comment, email, model",33210406
21,21,0,0.5965,"_id, await, userid, mongoos, usernam, promis, _, comment, email, model",33220764
22,22,1,0.9645,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",33280824
23,23,1,0.9535,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",33399901
24,24,1,0.9507,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",33460053
25,25,2,0.9351,"parent, properti, pass, array, argument, root, await, info, key, defin",33929975
26,26,1,0.9109,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",33994007
27,27,1,0.8457,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",34005370
28,28,1,0.6541,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",34075018
29,29,1,0.9463,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",34100400
30,30,1,0.6736,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",34155439
31,31,2,0.8198,"parent, properti, pass, array, argument, root, await, info, key, defin",34185198
32,32,0,0.7813,"_id, await, userid, mongoos, usernam, promis, _, comment, email, model",34186990
33,33,1,0.9669,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",34192065
34,34,2,0.6153,"parent, properti, pass, array, argument, root, await, info, key, defin",34193032
35,35,1,0.8635,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",34280152
36,36,1,0.5752,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, graphqlschema, root, parent_arg, graphqlobjecttyp, graphqllist",34429880
37,37,0,0.5144,"_id, await, userid, mongoos, usernam, promis, _, comment, email, model",34445501
