,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,3,0.5264,"json, end, def, bodi, class, end_end, argument, nil, modul, test",13401374
1,1,3,0.6986,"json, end, def, bodi, class, end_end, argument, nil, modul, test",13404055
2,2,2,0.5966,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",14931641
3,3,3,0.9769,"json, end, def, bodi, class, end_end, argument, nil, modul, test",18690929
4,4,2,0.7596,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",20354085
5,5,3,0.6209,"json, end, def, bodi, class, end_end, argument, nil, modul, test",26441288
6,6,3,0.8807,"json, end, def, bodi, class, end_end, argument, nil, modul, test",31581730
7,7,0,0.9837,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",32442814
8,8,1,0.7837,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",32657596
9,9,3,0.4971,"json, end, def, bodi, class, end_end, argument, nil, modul, test",33280998
10,10,3,0.4374,"json, end, def, bodi, class, end_end, argument, nil, modul, test",34186553
11,11,2,0.5579,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",35760444
12,12,1,0.5675,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",36432046
13,13,3,0.9299,"json, end, def, bodi, class, end_end, argument, nil, modul, test",36691554
14,14,1,0.9035,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",36852619
15,15,3,0.7874,"json, end, def, bodi, class, end_end, argument, nil, modul, test",37331238
16,16,1,0.6217,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",37892045
17,17,1,0.833,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",37893808
18,18,2,0.6457,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",38794060
19,19,1,0.7362,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",38862441
20,20,1,0.4611,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",38917514
21,21,1,0.9534,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",39255756
22,22,1,0.5657,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",39419978
23,23,3,0.873,"json, end, def, bodi, class, end_end, argument, nil, modul, test",39550733
24,24,2,0.6239,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",39550962
25,25,3,0.5465,"json, end, def, bodi, class, end_end, argument, nil, modul, test",39682916
26,26,1,0.8906,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",39759988
27,27,1,0.9026,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",39833980
28,28,1,0.49,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",39882163
29,29,3,0.6682,"json, end, def, bodi, class, end_end, argument, nil, modul, test",39914161
30,30,3,0.6991,"json, end, def, bodi, class, end_end, argument, nil, modul, test",39951033
31,31,2,0.6267,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",40032213
32,32,2,0.8121,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",40091306
33,33,0,0.925,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",40118263
34,34,1,0.5744,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",40200563
35,35,1,0.5548,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",40206479
36,36,2,0.7845,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",40207377
37,37,1,0.5375,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",40269444
38,38,1,0.6588,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",40269572
39,39,1,0.5091,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",40269716
40,40,1,0.3369,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",40360936
41,41,1,0.9137,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",40385432
42,42,0,0.7385,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",40495931
43,43,3,0.7397,"json, end, def, bodi, class, end_end, argument, nil, modul, test",40697617
44,44,1,0.9484,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",41090200
45,45,3,0.6082,"json, end, def, bodi, class, end_end, argument, nil, modul, test",41230015
46,46,3,0.4901,"json, end, def, bodi, class, end_end, argument, nil, modul, test",41266472
47,47,1,0.6247,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",41401427
48,48,2,0.5209,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",41485288
49,49,3,0.9813,"json, end, def, bodi, class, end_end, argument, nil, modul, test",41513681
50,50,2,0.541,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",41574439
51,51,3,0.9704,"json, end, def, bodi, class, end_end, argument, nil, modul, test",41661297
52,52,1,0.9339,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",41720509
53,53,3,0.7671,"json, end, def, bodi, class, end_end, argument, nil, modul, test",41753872
54,54,3,0.7287,"json, end, def, bodi, class, end_end, argument, nil, modul, test",41851366
55,55,3,0.5885,"json, end, def, bodi, class, end_end, argument, nil, modul, test",42182771
56,56,1,0.9631,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",42227079
57,57,3,0.5655,"json, end, def, bodi, class, end_end, argument, nil, modul, test",42304189
58,58,1,0.9039,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",42353161
59,59,0,0.9897,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",42382282
60,60,0,0.9728,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",42387717
61,61,3,0.6683,"json, end, def, bodi, class, end_end, argument, nil, modul, test",42420565
62,62,3,0.9091,"json, end, def, bodi, class, end_end, argument, nil, modul, test",42446684
63,63,2,0.9793,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",42457480
64,64,2,0.9848,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",42492943
65,65,3,0.742,"json, end, def, bodi, class, end_end, argument, nil, modul, test",42520663
66,66,3,0.9791,"json, end, def, bodi, class, end_end, argument, nil, modul, test",42566077
67,67,2,0.6167,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",42650469
68,68,3,0.5487,"json, end, def, bodi, class, end_end, argument, nil, modul, test",42904307
69,69,0,0.8386,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",42941606
70,70,1,0.9388,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",43007610
71,71,3,0.8124,"json, end, def, bodi, class, end_end, argument, nil, modul, test",43076521
72,72,1,0.9669,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",43107023
73,73,3,0.3676,"json, end, def, bodi, class, end_end, argument, nil, modul, test",43123293
74,74,3,0.9494,"json, end, def, bodi, class, end_end, argument, nil, modul, test",43150795
75,75,3,0.7401,"json, end, def, bodi, class, end_end, argument, nil, modul, test",43160342
76,76,0,0.4043,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",43263013
77,77,1,0.9715,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",43373333
78,78,1,0.9109,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",43687772
79,79,3,0.7944,"json, end, def, bodi, class, end_end, argument, nil, modul, test",43732764
80,80,2,0.9355,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",44130930
81,81,1,0.54,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44132000
82,82,1,0.605,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44137497
83,83,1,0.8981,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44158571
84,84,3,0.8385,"json, end, def, bodi, class, end_end, argument, nil, modul, test",44237758
85,85,3,0.9788,"json, end, def, bodi, class, end_end, argument, nil, modul, test",44240291
86,86,3,0.7411,"json, end, def, bodi, class, end_end, argument, nil, modul, test",44262367
87,87,3,0.7979,"json, end, def, bodi, class, end_end, argument, nil, modul, test",44414412
88,88,1,0.5449,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44485563
89,89,3,0.6403,"json, end, def, bodi, class, end_end, argument, nil, modul, test",44545361
90,90,0,0.9631,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",44596074
91,91,0,0.7798,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",44615623
92,92,1,0.5527,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44634444
93,93,1,0.6467,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44710410
94,94,3,0.9504,"json, end, def, bodi, class, end_end, argument, nil, modul, test",44711018
95,95,3,0.3259,"json, end, def, bodi, class, end_end, argument, nil, modul, test",44714731
96,96,1,0.7337,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44744180
97,97,1,0.5861,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44761412
98,98,1,0.8888,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44794466
99,99,1,0.8888,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44795599
100,100,1,0.8881,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44805855
101,101,1,0.7528,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",44817771
102,102,1,0.9622,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",45133816
103,103,3,0.687,"json, end, def, bodi, class, end_end, argument, nil, modul, test",45212523
104,104,0,0.8502,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",45253671
105,105,3,0.808,"json, end, def, bodi, class, end_end, argument, nil, modul, test",45289330
106,106,3,0.8712,"json, end, def, bodi, class, end_end, argument, nil, modul, test",45341467
107,107,2,0.6509,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",45375139
108,108,0,0.9821,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",45412884
109,109,0,0.9772,"tag, categori, comment, relat, model, nil, product, user_id, created_at, datetim",45500157
110,110,1,0.8856,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",45624042
111,111,1,0.9731,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",45832507
112,112,2,0.8967,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",45933171
113,113,3,0.5917,"json, end, def, bodi, class, end_end, argument, nil, modul, test",45939512
114,114,2,0.6274,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",45944524
115,115,1,0.571,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",45955084
116,116,1,0.8999,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46059024
117,117,1,0.6346,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46136815
118,118,2,0.9149,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",46193932
119,119,1,0.5095,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46239965
120,120,3,0.7948,"json, end, def, bodi, class, end_end, argument, nil, modul, test",46240849
121,121,1,0.6081,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46276304
122,122,1,0.6113,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46284903
123,123,1,0.6075,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46292159
124,124,2,0.9023,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",46315278
125,125,3,0.9032,"json, end, def, bodi, class, end_end, argument, nil, modul, test",46327573
126,126,2,0.3835,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",46335485
127,127,1,0.4693,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46350424
128,128,1,0.9467,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46550376
129,129,1,0.9734,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46552725
130,130,3,0.6553,"json, end, def, bodi, class, end_end, argument, nil, modul, test",46591361
131,131,1,0.8056,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46598598
132,132,1,0.732,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46632392
133,133,2,0.9472,"categori, slug, filter, limit, content, edg, array, sort, skip, compon",46660475
134,134,3,0.8441,"json, end, def, bodi, class, end_end, argument, nil, modul, test",46804667
135,135,1,0.6937,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46811295
136,136,1,0.5693,"resolv, schema, json, userid, paramet, end, expect, arg, _, argument",46818041
