,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.5546,"data, fetch, react, test, render, compon, function, environ, fix, new",11084098
1,1,3,0.8302,"deploy, port, heroku, start, connect, docker, environ, log, host, backend",12344574
2,2,3,0.5561,"deploy, port, heroku, start, connect, docker, environ, log, host, backend",13312106
3,3,0,0.6907,"data, fetch, react, test, render, compon, function, environ, fix, new",20656746
4,4,4,0.5768,"depend, packag, instal, warn, modul, npm, build, gatsbi, schema, upgrad",31596123
5,5,1,0.9563,"name, type, data, string, id, field, schema, cours, fragment, resolv",33478309
6,6,1,0.9817,"name, type, data, string, id, field, schema, cours, fragment, resolv",33509643
7,7,1,0.9249,"name, type, data, string, id, field, schema, cours, fragment, resolv",35074562
8,8,0,0.5039,"data, fetch, react, test, render, compon, function, environ, fix, new",35288600
9,9,4,0.7804,"depend, packag, instal, warn, modul, npm, build, gatsbi, schema, upgrad",35863107
10,10,1,0.5571,"name, type, data, string, id, field, schema, cours, fragment, resolv",37011111
11,11,1,0.4893,"name, type, data, string, id, field, schema, cours, fragment, resolv",37049219
12,12,0,0.5939,"data, fetch, react, test, render, compon, function, environ, fix, new",37104552
13,13,1,0.9787,"name, type, data, string, id, field, schema, cours, fragment, resolv",37398132
14,14,4,0.6828,"depend, packag, instal, warn, modul, npm, build, gatsbi, schema, upgrad",37611774
15,15,1,0.4103,"name, type, data, string, id, field, schema, cours, fragment, resolv",37688952
16,16,1,0.9817,"name, type, data, string, id, field, schema, cours, fragment, resolv",37782593
17,17,0,0.9658,"data, fetch, react, test, render, compon, function, environ, fix, new",37903571
18,18,0,0.7193,"data, fetch, react, test, render, compon, function, environ, fix, new",37915420
19,19,3,0.5461,"deploy, port, heroku, start, connect, docker, environ, log, host, backend",38289999
20,20,1,0.6766,"name, type, data, string, id, field, schema, cours, fragment, resolv",38444062
21,21,2,0.9247,"cor, header, fetch, symbol, function, connect, access, schema, network, apollocli",38600657
22,22,0,0.5056,"data, fetch, react, test, render, compon, function, environ, fix, new",38689117
23,23,3,0.9247,"deploy, port, heroku, start, connect, docker, environ, log, host, backend",39129877
24,24,3,0.8831,"deploy, port, heroku, start, connect, docker, environ, log, host, backend",39278457
25,25,1,0.9264,"name, type, data, string, id, field, schema, cours, fragment, resolv",39279290
26,26,0,0.6295,"data, fetch, react, test, render, compon, function, environ, fix, new",39280362
27,27,1,0.9893,"name, type, data, string, id, field, schema, cours, fragment, resolv",39309878
28,28,1,0.9413,"name, type, data, string, id, field, schema, cours, fragment, resolv",39320575
29,29,0,0.5281,"data, fetch, react, test, render, compon, function, environ, fix, new",39344559
30,30,1,0.9613,"name, type, data, string, id, field, schema, cours, fragment, resolv",39480846
31,31,1,0.8841,"name, type, data, string, id, field, schema, cours, fragment, resolv",39518997
32,32,1,0.7994,"name, type, data, string, id, field, schema, cours, fragment, resolv",39760234
33,33,0,0.7977,"data, fetch, react, test, render, compon, function, environ, fix, new",39786443
34,34,1,0.5784,"name, type, data, string, id, field, schema, cours, fragment, resolv",39841256
35,35,2,0.7688,"cor, header, fetch, symbol, function, connect, access, schema, network, apollocli",39874675
36,36,4,0.6046,"depend, packag, instal, warn, modul, npm, build, gatsbi, schema, upgrad",39907374
