,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,5,0.9754,"file, run, servic, build, generat, project, start, test, modul, version",14370296
1,1,5,0.9681,"file, run, servic, build, generat, project, start, test, modul, version",13312106
2,2,4,0.5503,"token, context, await, header, messag, subscript, file, connect, link, cach",12355896
3,3,4,0.5603,"token, context, await, header, messag, subscript, file, connect, link, cach",13404055
4,4,5,0.6133,"file, run, servic, build, generat, project, start, test, modul, version",14505983
5,5,5,0.6305,"file, run, servic, build, generat, project, start, test, modul, version",14528146
6,6,5,0.9427,"file, run, servic, build, generat, project, start, test, modul, version",14563570
7,7,5,0.5853,"file, run, servic, build, generat, project, start, test, modul, version",16216667
8,8,5,0.8185,"file, run, servic, build, generat, project, start, test, modul, version",16152486
9,9,4,0.9522,"token, context, await, header, messag, subscript, file, connect, link, cach",16732804
10,10,4,0.5079,"token, context, await, header, messag, subscript, file, connect, link, cach",17170400
11,11,5,0.8568,"file, run, servic, build, generat, project, start, test, modul, version",17449386
12,12,4,0.694,"token, context, await, header, messag, subscript, file, connect, link, cach",17461092
13,13,5,0.9219,"file, run, servic, build, generat, project, start, test, modul, version",20199498
14,14,5,0.6882,"file, run, servic, build, generat, project, start, test, modul, version",17830574
15,15,4,0.5089,"token, context, await, header, messag, subscript, file, connect, link, cach",23774739
16,16,5,0.6896,"file, run, servic, build, generat, project, start, test, modul, version",25127926
17,17,5,0.869,"file, run, servic, build, generat, project, start, test, modul, version",18947216
18,18,5,0.9339,"file, run, servic, build, generat, project, start, test, modul, version",22996349
19,19,5,0.6578,"file, run, servic, build, generat, project, start, test, modul, version",25082288
20,20,5,0.8678,"file, run, servic, build, generat, project, start, test, modul, version",31596123
21,21,6,0.4768,"class, public, model, tabl, descript, column, project, entiti, method, public_class",21335190
22,22,5,0.5696,"file, run, servic, build, generat, project, start, test, modul, version",26845311
23,23,5,0.6379,"file, run, servic, build, generat, project, start, test, modul, version",27634403
24,24,5,0.8221,"file, run, servic, build, generat, project, start, test, modul, version",27670005
25,25,5,0.9352,"file, run, servic, build, generat, project, start, test, modul, version",39106508
26,26,4,0.6033,"token, context, await, header, messag, subscript, file, connect, link, cach",42923837
27,27,5,0.4723,"file, run, servic, build, generat, project, start, test, modul, version",55736146
28,28,5,0.5445,"file, run, servic, build, generat, project, start, test, modul, version",29038448
29,29,5,0.914,"file, run, servic, build, generat, project, start, test, modul, version",29198977
30,30,5,0.6923,"file, run, servic, build, generat, project, start, test, modul, version",29399780
31,31,5,0.5938,"file, run, servic, build, generat, project, start, test, modul, version",29527865
32,32,5,0.5225,"file, run, servic, build, generat, project, start, test, modul, version",31433242
33,33,5,0.9704,"file, run, servic, build, generat, project, start, test, modul, version",31886077
34,34,0,0.3787,"filter, array, argument, pass, direct, search, key, relat, pagin, tag",32177345
35,35,5,0.7138,"file, run, servic, build, generat, project, start, test, modul, version",32702514
36,36,0,0.5611,"filter, array, argument, pass, direct, search, key, relat, pagin, tag",35989918
37,37,5,0.515,"file, run, servic, build, generat, project, start, test, modul, version",37202109
38,38,0,0.6867,"filter, array, argument, pass, direct, search, key, relat, pagin, tag",45538877
39,39,5,0.5156,"file, run, servic, build, generat, project, start, test, modul, version",48053165
40,40,0,0.7108,"filter, array, argument, pass, direct, search, key, relat, pagin, tag",33174669
41,41,4,0.5327,"token, context, await, header, messag, subscript, file, connect, link, cach",34186496
42,42,4,0.4219,"token, context, await, header, messag, subscript, file, connect, link, cach",38625054
43,43,6,0.5533,"class, public, model, tabl, descript, column, project, entiti, method, public_class",32171643
44,44,3,0.6145,"email, product, await, usernam, _id, password, arg, type_graphqlstr, descript, comment",32265794
45,45,6,0.5977,"class, public, model, tabl, descript, column, project, entiti, method, public_class",32172173
46,46,2,0.5406,"imag, slug, link, content, gatsbi, compon, edg, fetch, descript, categori",32203569
47,47,5,0.8479,"file, run, servic, build, generat, project, start, test, modul, version",33076869
