,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.9394,"compon, store, name, state, refetch, load, render, form, prop, button",32491090
1,1,3,0.5132,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",32737392
2,2,2,0.9742,"type, name, string, resolv, promis, field, status, __typenam, await, task",32739012
3,3,0,0.9294,"compon, store, name, state, refetch, load, render, form, prop, button",32835176
4,4,1,0.5548,"field, read, exist, merg, product, doc, fetch, type, key, incom",33367168
5,5,0,0.9436,"compon, store, name, state, refetch, load, render, form, prop, button",33513076
6,6,0,0.9704,"compon, store, name, state, refetch, load, render, form, prop, button",34113583
7,7,0,0.9508,"compon, store, name, state, refetch, load, render, form, prop, button",34409268
8,8,0,0.729,"compon, store, name, state, refetch, load, render, form, prop, button",34486565
9,9,3,0.92,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",34847285
10,10,0,0.5789,"compon, store, name, state, refetch, load, render, form, prop, button",35472008
11,11,2,0.9576,"type, name, string, resolv, promis, field, status, __typenam, await, task",35476921
12,12,0,0.6517,"compon, store, name, state, refetch, load, render, form, prop, button",35477236
13,13,0,0.9498,"compon, store, name, state, refetch, load, render, form, prop, button",36243893
14,14,2,0.6392,"type, name, string, resolv, promis, field, status, __typenam, await, task",36498343
15,15,1,0.5375,"field, read, exist, merg, product, doc, fetch, type, key, incom",36788297
16,16,0,0.6158,"compon, store, name, state, refetch, load, render, form, prop, button",37150580
17,17,0,0.6015,"compon, store, name, state, refetch, load, render, form, prop, button",37152595
18,18,0,0.9834,"compon, store, name, state, refetch, load, render, form, prop, button",37198281
19,19,0,0.9436,"compon, store, name, state, refetch, load, render, form, prop, button",37263016
20,20,1,0.8043,"field, read, exist, merg, product, doc, fetch, type, key, incom",37378838
21,21,1,0.5756,"field, read, exist, merg, product, doc, fetch, type, key, incom",37484883
22,22,0,0.7144,"compon, store, name, state, refetch, load, render, form, prop, button",37644453
23,23,2,0.9113,"type, name, string, resolv, promis, field, status, __typenam, await, task",37757875
24,24,2,0.8698,"type, name, string, resolv, promis, field, status, __typenam, await, task",37795601
25,25,2,0.9758,"type, name, string, resolv, promis, field, status, __typenam, await, task",37817133
26,26,1,0.5799,"field, read, exist, merg, product, doc, fetch, type, key, incom",37818686
27,27,1,0.8965,"field, read, exist, merg, product, doc, fetch, type, key, incom",37850107
28,28,1,0.7023,"field, read, exist, merg, product, doc, fetch, type, key, incom",38424603
29,29,3,0.8865,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",38494065
30,30,2,0.8964,"type, name, string, resolv, promis, field, status, __typenam, await, task",38593192
31,31,0,0.7957,"compon, store, name, state, refetch, load, render, form, prop, button",38625556
32,32,0,0.806,"compon, store, name, state, refetch, load, render, form, prop, button",38691850
33,33,2,0.793,"type, name, string, resolv, promis, field, status, __typenam, await, task",38841359
34,34,0,0.934,"compon, store, name, state, refetch, load, render, form, prop, button",38910122
35,35,0,0.8907,"compon, store, name, state, refetch, load, render, form, prop, button",38929630
36,36,0,0.5475,"compon, store, name, state, refetch, load, render, form, prop, button",39139014
37,37,3,0.8375,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",39299991
38,38,0,0.8702,"compon, store, name, state, refetch, load, render, form, prop, button",39858283
39,39,1,0.7046,"field, read, exist, merg, product, doc, fetch, type, key, incom",39917688
40,40,0,0.6021,"compon, store, name, state, refetch, load, render, form, prop, button",39980833
41,41,0,0.9545,"compon, store, name, state, refetch, load, render, form, prop, button",40103779
42,42,0,0.8712,"compon, store, name, state, refetch, load, render, form, prop, button",40137736
43,43,3,0.6876,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",40166659
44,44,1,0.5919,"field, read, exist, merg, product, doc, fetch, type, key, incom",40194881
45,45,1,0.5109,"field, read, exist, merg, product, doc, fetch, type, key, incom",40206314
46,46,3,0.6593,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",40240588
47,47,2,0.8082,"type, name, string, resolv, promis, field, status, __typenam, await, task",40252799
48,48,3,0.5405,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",40327824
49,49,2,0.6839,"type, name, string, resolv, promis, field, status, __typenam, await, task",40330933
50,50,3,0.8856,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",40332892
51,51,2,0.9694,"type, name, string, resolv, promis, field, status, __typenam, await, task",40348352
52,52,0,0.8969,"compon, store, name, state, refetch, load, render, form, prop, button",40456462
53,53,1,0.9186,"field, read, exist, merg, product, doc, fetch, type, key, incom",40484900
54,54,3,0.8647,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",40505977
55,55,1,0.7321,"field, read, exist, merg, product, doc, fetch, type, key, incom",40570563
56,56,1,0.4776,"field, read, exist, merg, product, doc, fetch, type, key, incom",40615944
57,57,3,0.5584,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",40625600
58,58,3,0.8692,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",40663102
59,59,0,0.8064,"compon, store, name, state, refetch, load, render, form, prop, button",40687823
60,60,3,0.9124,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",40727104
61,61,1,0.6716,"field, read, exist, merg, product, doc, fetch, type, key, incom",40729074
62,62,1,0.9502,"field, read, exist, merg, product, doc, fetch, type, key, incom",40766475
63,63,2,0.6281,"type, name, string, resolv, promis, field, status, __typenam, await, task",40777422
64,64,1,0.4878,"field, read, exist, merg, product, doc, fetch, type, key, incom",40778373
65,65,2,0.8994,"type, name, string, resolv, promis, field, status, __typenam, await, task",41111258
66,66,0,0.622,"compon, store, name, state, refetch, load, render, form, prop, button",41133746
67,67,2,0.4873,"type, name, string, resolv, promis, field, status, __typenam, await, task",41134616
68,68,0,0.9384,"compon, store, name, state, refetch, load, render, form, prop, button",41232550
69,69,2,0.631,"type, name, string, resolv, promis, field, status, __typenam, await, task",41245788
70,70,0,0.9173,"compon, store, name, state, refetch, load, render, form, prop, button",41276279
71,71,3,0.9048,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",41283691
72,72,2,0.7023,"type, name, string, resolv, promis, field, status, __typenam, await, task",41284560
73,73,0,0.9666,"compon, store, name, state, refetch, load, render, form, prop, button",41349966
74,74,0,0.4007,"compon, store, name, state, refetch, load, render, form, prop, button",41359399
75,75,0,0.8853,"compon, store, name, state, refetch, load, render, form, prop, button",41412046
76,76,0,0.883,"compon, store, name, state, refetch, load, render, form, prop, button",41455845
77,77,2,0.6994,"type, name, string, resolv, promis, field, status, __typenam, await, task",41515226
78,78,0,0.9651,"compon, store, name, state, refetch, load, render, form, prop, button",41644393
79,79,0,0.6577,"compon, store, name, state, refetch, load, render, form, prop, button",41645184
80,80,1,0.5403,"field, read, exist, merg, product, doc, fetch, type, key, incom",41665695
81,81,1,0.5472,"field, read, exist, merg, product, doc, fetch, type, key, incom",41703894
82,82,2,0.9108,"type, name, string, resolv, promis, field, status, __typenam, await, task",41777526
83,83,1,0.9696,"field, read, exist, merg, product, doc, fetch, type, key, incom",41852880
84,84,1,0.927,"field, read, exist, merg, product, doc, fetch, type, key, incom",41874886
85,85,0,0.7547,"compon, store, name, state, refetch, load, render, form, prop, button",41899914
86,86,0,0.861,"compon, store, name, state, refetch, load, render, form, prop, button",41944291
87,87,0,0.7217,"compon, store, name, state, refetch, load, render, form, prop, button",42028918
88,88,1,0.8056,"field, read, exist, merg, product, doc, fetch, type, key, incom",42048207
89,89,1,0.8448,"field, read, exist, merg, product, doc, fetch, type, key, incom",42101963
90,90,3,0.8431,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",42129604
91,91,3,0.9148,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",42135722
92,92,2,0.6755,"type, name, string, resolv, promis, field, status, __typenam, await, task",42145890
93,93,2,0.737,"type, name, string, resolv, promis, field, status, __typenam, await, task",42214442
94,94,2,0.5865,"type, name, string, resolv, promis, field, status, __typenam, await, task",42245488
95,95,0,0.789,"compon, store, name, state, refetch, load, render, form, prop, button",42274600
96,96,0,0.4458,"compon, store, name, state, refetch, load, render, form, prop, button",42334805
97,97,0,0.4936,"compon, store, name, state, refetch, load, render, form, prop, button",42502187
98,98,0,0.8638,"compon, store, name, state, refetch, load, render, form, prop, button",42536418
99,99,1,0.7997,"field, read, exist, merg, product, doc, fetch, type, key, incom",42544432
100,100,1,0.8013,"field, read, exist, merg, product, doc, fetch, type, key, incom",42544752
101,101,1,0.6944,"field, read, exist, merg, product, doc, fetch, type, key, incom",42625812
102,102,0,0.6514,"compon, store, name, state, refetch, load, render, form, prop, button",42629412
103,103,2,0.7571,"type, name, string, resolv, promis, field, status, __typenam, await, task",42631523
104,104,2,0.9569,"type, name, string, resolv, promis, field, status, __typenam, await, task",42634742
105,105,2,0.9445,"type, name, string, resolv, promis, field, status, __typenam, await, task",42642137
106,106,3,0.7266,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",42710461
107,107,0,0.5544,"compon, store, name, state, refetch, load, render, form, prop, button",42737396
108,108,0,0.8582,"compon, store, name, state, refetch, load, render, form, prop, button",42744718
109,109,0,0.7698,"compon, store, name, state, refetch, load, render, form, prop, button",42785520
110,110,3,0.6914,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",42789934
111,111,3,0.7498,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",42869906
112,112,3,0.581,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",42880146
113,113,1,0.8042,"field, read, exist, merg, product, doc, fetch, type, key, incom",42896746
114,114,0,0.5194,"compon, store, name, state, refetch, load, render, form, prop, button",42896816
115,115,3,0.489,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",42914581
116,116,1,0.6443,"field, read, exist, merg, product, doc, fetch, type, key, incom",42925764
117,117,2,0.6044,"type, name, string, resolv, promis, field, status, __typenam, await, task",42937502
118,118,0,0.9831,"compon, store, name, state, refetch, load, render, form, prop, button",42943440
119,119,3,0.9594,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",43032513
120,120,0,0.9765,"compon, store, name, state, refetch, load, render, form, prop, button",43087914
121,121,1,0.8036,"field, read, exist, merg, product, doc, fetch, type, key, incom",43096141
122,122,0,0.9569,"compon, store, name, state, refetch, load, render, form, prop, button",43132716
123,123,0,0.6725,"compon, store, name, state, refetch, load, render, form, prop, button",43133763
124,124,3,0.5775,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",43138658
125,125,0,0.9767,"compon, store, name, state, refetch, load, render, form, prop, button",43194596
126,126,0,0.8902,"compon, store, name, state, refetch, load, render, form, prop, button",43213482
127,127,3,0.6834,"string, _id, delet, userid, __typenam, event, refetch, fetch, field, comment",43242475
