,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,1,0.9506,"npm, build, instal, start, version, command, modul, packag, depend, plugin",19707647
1,1,1,0.8938,"npm, build, instal, start, version, command, modul, packag, depend, plugin",20199498
2,2,1,0.9126,"npm, build, instal, start, version, command, modul, packag, depend, plugin",22996349
3,3,1,0.9536,"npm, build, instal, start, version, command, modul, packag, depend, plugin",24581771
4,4,1,0.9585,"npm, build, instal, start, version, command, modul, packag, depend, plugin",24681787
5,5,1,0.8575,"npm, build, instal, start, version, command, modul, packag, depend, plugin",25082288
6,6,0,0.5515,"const, name, string, id, data, return, new, field, typescript, endpoint",32178553
7,7,0,0.8695,"const, name, string, id, data, return, new, field, typescript, endpoint",32337701
8,8,0,0.9875,"const, name, string, id, data, return, new, field, typescript, endpoint",32491117
9,9,1,0.5191,"npm, build, instal, start, version, command, modul, packag, depend, plugin",32508252
10,10,1,0.9766,"npm, build, instal, start, version, command, modul, packag, depend, plugin",32994451
11,11,0,0.6789,"const, name, string, id, data, return, new, field, typescript, endpoint",32995391
12,12,1,0.6317,"npm, build, instal, start, version, command, modul, packag, depend, plugin",33076869
13,13,0,0.8643,"const, name, string, id, data, return, new, field, typescript, endpoint",34726666
14,14,1,0.7258,"npm, build, instal, start, version, command, modul, packag, depend, plugin",34815578
15,15,1,0.9604,"npm, build, instal, start, version, command, modul, packag, depend, plugin",34816208
16,16,0,0.6574,"const, name, string, id, data, return, new, field, typescript, endpoint",35067726
17,17,1,0.723,"npm, build, instal, start, version, command, modul, packag, depend, plugin",35074285
18,18,0,0.8234,"const, name, string, id, data, return, new, field, typescript, endpoint",35565985
19,19,0,0.5,"const, name, string, id, data, return, new, field, typescript, endpoint",35595235
20,20,0,0.9863,"const, name, string, id, data, return, new, field, typescript, endpoint",35613467
21,21,1,0.7889,"npm, build, instal, start, version, command, modul, packag, depend, plugin",35871999
22,22,0,0.9296,"const, name, string, id, data, return, new, field, typescript, endpoint",35971738
23,23,0,0.5638,"const, name, string, id, data, return, new, field, typescript, endpoint",36241092
24,24,0,0.5845,"const, name, string, id, data, return, new, field, typescript, endpoint",36494327
25,25,1,0.7428,"npm, build, instal, start, version, command, modul, packag, depend, plugin",36800136
26,26,1,0.9812,"npm, build, instal, start, version, command, modul, packag, depend, plugin",36829731
27,27,1,0.5035,"npm, build, instal, start, version, command, modul, packag, depend, plugin",37010959
28,28,1,0.9272,"npm, build, instal, start, version, command, modul, packag, depend, plugin",37094655
29,29,0,0.5298,"const, name, string, id, data, return, new, field, typescript, endpoint",37292331
30,30,1,0.8708,"npm, build, instal, start, version, command, modul, packag, depend, plugin",37496072
31,31,0,0.7373,"const, name, string, id, data, return, new, field, typescript, endpoint",37528382
32,32,0,0.5398,"const, name, string, id, data, return, new, field, typescript, endpoint",37556521
33,33,0,0.5395,"const, name, string, id, data, return, new, field, typescript, endpoint",37556570
34,34,1,0.5142,"npm, build, instal, start, version, command, modul, packag, depend, plugin",37592305
35,35,0,0.7416,"const, name, string, id, data, return, new, field, typescript, endpoint",37768625
36,36,1,0.9021,"npm, build, instal, start, version, command, modul, packag, depend, plugin",37882223
37,37,1,0.8938,"npm, build, instal, start, version, command, modul, packag, depend, plugin",37977912
38,38,0,0.6964,"const, name, string, id, data, return, new, field, typescript, endpoint",38005371
39,39,1,0.5866,"npm, build, instal, start, version, command, modul, packag, depend, plugin",38032856
40,40,1,0.5435,"npm, build, instal, start, version, command, modul, packag, depend, plugin",38036128
41,41,1,0.9141,"npm, build, instal, start, version, command, modul, packag, depend, plugin",38049885
42,42,1,0.5613,"npm, build, instal, start, version, command, modul, packag, depend, plugin",38050110
43,43,0,0.8763,"const, name, string, id, data, return, new, field, typescript, endpoint",38111367
44,44,1,0.5669,"npm, build, instal, start, version, command, modul, packag, depend, plugin",38165609
45,45,1,0.9778,"npm, build, instal, start, version, command, modul, packag, depend, plugin",38165853
46,46,0,0.739,"const, name, string, id, data, return, new, field, typescript, endpoint",38181814
