,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,1,0.5757,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",34797581
1,1,1,0.9612,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",37025623
2,2,1,0.7459,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",38165739
3,3,0,0.5925,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",38403275
4,4,1,0.5863,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",38909849
5,5,1,0.9782,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",39379943
6,6,0,0.9173,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",39563422
7,7,1,0.9533,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",39815267
8,8,0,0.5618,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",39856672
9,9,0,0.7086,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",39961669
10,10,0,0.7449,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",40194329
11,11,1,0.5036,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",40194705
12,12,1,0.6792,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",40296800
13,13,1,0.6851,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",40353046
14,14,1,0.9812,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",40442730
15,15,0,0.548,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",40507634
16,16,0,0.9011,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",40540246
17,17,0,0.6839,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",40570608
18,18,0,0.973,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",40610407
19,19,0,0.9717,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",40616282
20,20,1,0.9368,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",40717117
21,21,1,0.9467,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",40770350
22,22,1,0.7261,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",40838855
23,23,1,0.8082,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",40917463
24,24,0,0.5285,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",40921987
25,25,1,0.9563,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",41026900
26,26,0,0.9515,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",41028906
27,27,1,0.6666,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",41209429
28,28,1,0.975,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",41269351
29,29,0,0.6486,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",41410702
30,30,0,0.8038,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",41705396
31,31,1,0.6499,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",42239473
32,32,0,0.6863,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",42305737
33,33,1,0.7464,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",42547222
34,34,1,0.7398,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",42548711
35,35,1,0.984,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",42559543
36,36,1,0.7659,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",42567639
37,37,1,0.7927,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",42575400
38,38,0,0.881,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",42602017
39,39,1,0.9338,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",42853420
40,40,1,0.9074,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",42977319
41,41,0,0.601,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",43075279
42,42,1,0.9495,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",43076333
43,43,0,0.8801,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",43282974
44,44,1,0.7623,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",43409505
45,45,1,0.8542,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",43533760
46,46,1,0.802,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",43554746
47,47,1,0.8597,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",43750207
48,48,0,0.8086,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",43776185
49,49,1,0.7151,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",43837979
50,50,0,0.5678,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",43878412
51,51,0,0.5775,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",43925400
52,52,1,0.8418,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",43953124
53,53,0,0.9244,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",44089255
54,54,1,0.9213,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",44124284
55,55,0,0.8128,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",44184740
56,56,0,0.8229,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",44332060
57,57,0,0.9846,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",44355988
58,58,1,0.5332,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",44405891
59,59,0,0.7362,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",44472754
60,60,0,0.529,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",44525873
61,61,1,0.8521,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",44774728
62,62,1,0.7387,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",44810829
63,63,0,0.5342,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",44839791
64,64,0,0.8435,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",44861844
65,65,0,0.8715,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",45051433
66,66,0,0.97,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",45133546
67,67,0,0.8276,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",45160928
68,68,1,0.5965,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",45266448
69,69,0,0.8738,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",45336215
70,70,1,0.9755,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",45499826
71,71,1,0.9305,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",45501138
72,72,1,0.9447,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",45512956
73,73,0,0.6965,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",45628048
74,74,0,0.9928,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",45780041
75,75,0,0.9508,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",45795304
76,76,0,0.5364,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",45847132
77,77,1,0.5604,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",45869574
78,78,0,0.8991,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",45992025
79,79,0,0.6413,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",46038947
80,80,1,0.5323,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46110817
81,81,0,0.9098,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",46125379
82,82,0,0.6031,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",46237204
83,83,1,0.5264,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46240997
84,84,1,0.9586,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46250167
85,85,0,0.9546,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",46287187
86,86,0,0.9314,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",46287255
87,87,1,0.8422,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46379005
88,88,1,0.5707,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46383204
89,89,0,0.8581,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",46397445
90,90,0,0.6228,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",46457029
91,91,1,0.8489,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46460406
92,92,0,0.9079,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",46517418
93,93,1,0.5851,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46518220
94,94,1,0.8814,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46658373
95,95,1,0.9717,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46742009
96,96,1,0.9187,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46836635
97,97,0,0.5735,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",46845535
98,98,0,0.8449,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",46900431
99,99,1,0.9377,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46902774
100,100,1,0.9291,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",46924422
101,101,0,0.9628,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",47000280
102,102,1,0.9314,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",47010189
103,103,0,0.8493,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",47095362
104,104,1,0.5346,"fetch, prop, await, new, button, skip, useeffect, updat, method, class",47106986
105,105,0,0.8617,"type, string, undefin, usest, useeffect, prop, refetch, uselazyqueri, search, pass",47176219
