,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,1,0.9314,"fragment, relay, compon, line, class, error, new, state, viewer, prop",32412043
1,1,1,0.989,"fragment, relay, compon, line, class, error, new, state, viewer, prop",32497759
2,2,0,0.8396,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",32498191
3,3,1,0.9744,"fragment, relay, compon, line, class, error, new, state, viewer, prop",32508427
4,4,1,0.5655,"fragment, relay, compon, line, class, error, new, state, viewer, prop",32508505
5,5,0,0.525,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",32588021
6,6,0,0.9737,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",32591989
7,7,0,0.7268,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",32613879
8,8,1,0.751,"fragment, relay, compon, line, class, error, new, state, viewer, prop",32615683
9,9,0,0.9921,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",32615799
10,10,1,0.9622,"fragment, relay, compon, line, class, error, new, state, viewer, prop",32619017
11,11,1,0.9618,"fragment, relay, compon, line, class, error, new, state, viewer, prop",32734901
12,12,1,0.9854,"fragment, relay, compon, line, class, error, new, state, viewer, prop",32743156
13,13,1,0.9818,"fragment, relay, compon, line, class, error, new, state, viewer, prop",32760418
14,14,0,0.6471,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",32776189
15,15,1,0.9879,"fragment, relay, compon, line, class, error, new, state, viewer, prop",32908821
16,16,1,0.6999,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33088119
17,17,0,0.9715,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",33088120
18,18,1,0.5007,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33235109
19,19,0,0.9726,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",33323894
20,20,0,0.9448,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",33332068
21,21,1,0.9574,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33336147
22,22,1,0.9466,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33354818
23,23,1,0.9446,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33411416
24,24,1,0.9576,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33415517
25,25,0,0.7154,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",33472181
26,26,1,0.5566,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33617817
27,27,0,0.5107,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",33631322
28,28,1,0.9186,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33638409
29,29,1,0.9519,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33678984
30,30,0,0.905,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",33686001
31,31,1,0.6648,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33773263
32,32,1,0.7342,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33790684
33,33,1,0.6098,"fragment, relay, compon, line, class, error, new, state, viewer, prop",33959991
34,34,1,0.9726,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34098791
35,35,1,0.9192,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34117054
36,36,1,0.57,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34135053
37,37,0,0.9659,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",34192507
38,38,0,0.7152,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",34192587
39,39,0,0.877,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",34192654
40,40,0,0.9884,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",34193320
41,41,1,0.7591,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34205309
42,42,0,0.9723,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",34214487
43,43,0,0.7869,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",34246441
44,44,1,0.5722,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34406667
45,45,1,0.9051,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34407181
46,46,1,0.9779,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34411292
47,47,1,0.9837,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34492614
48,48,1,0.761,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34522077
49,49,1,0.7635,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34539522
50,50,1,0.9277,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34540346
51,51,1,0.9877,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34601653
52,52,0,0.7924,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",34668050
53,53,1,0.9859,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34691871
54,54,0,0.8719,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",34693042
55,55,1,0.8821,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34828418
56,56,1,0.9379,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34838089
57,57,1,0.9849,"fragment, relay, compon, line, class, error, new, state, viewer, prop",34882707
58,58,0,0.9354,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",34984343
59,59,1,0.9049,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35019325
60,60,1,0.9223,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35043967
61,61,1,0.944,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35067685
62,62,1,0.9814,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35074446
63,63,1,0.9858,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35194917
64,64,1,0.9888,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35197523
65,65,1,0.9858,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35249073
66,66,1,0.9057,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35278297
67,67,0,0.5447,"cursor, edg, sort, date, order, connect, pagin, resolv, schema, key",35312038
68,68,1,0.976,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35471007
69,69,1,0.9756,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35471836
70,70,1,0.9912,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35479704
71,71,1,0.6117,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35534931
72,72,1,0.8472,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35585482
73,73,1,0.9895,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35618759
74,74,1,0.9826,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35669870
75,75,1,0.9004,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35698582
76,76,1,0.9807,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35713364
77,77,1,0.9759,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35733241
78,78,1,0.9421,"fragment, relay, compon, line, class, error, new, state, viewer, prop",35766363
