,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.7412,"link, categori, render, react, prop, function, children, load, display, layout",33994276
1,1,3,0.7359,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",34469725
2,2,0,0.7192,"link, categori, render, react, prop, function, children, load, display, layout",35823047
3,3,2,0.5795,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",35930023
4,4,0,0.8398,"link, categori, render, react, prop, function, children, load, display, layout",36804211
5,5,2,0.6147,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",37337013
6,6,2,0.7358,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",37337102
7,7,0,0.698,"link, categori, render, react, prop, function, children, load, display, layout",38592122
8,8,0,0.7738,"link, categori, render, react, prop, function, children, load, display, layout",38794428
9,9,0,0.9453,"link, categori, render, react, prop, function, children, load, display, layout",39216496
10,10,0,0.8404,"link, categori, render, react, prop, function, children, load, display, layout",39733798
11,11,0,0.898,"link, categori, render, react, prop, function, children, load, display, layout",41222088
12,12,1,0.7912,"blog, await, link, tag, date, function, project, fetch, index, prop",41354036
13,13,3,0.9374,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",41624657
14,14,3,0.5264,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",41748834
15,15,0,0.8165,"link, categori, render, react, prop, function, children, load, display, layout",41914976
16,16,0,0.9198,"link, categori, render, react, prop, function, children, load, display, layout",42023580
17,17,1,0.8862,"blog, await, link, tag, date, function, project, fetch, index, prop",42058634
18,18,3,0.8037,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",42610533
19,19,0,0.8867,"link, categori, render, react, prop, function, children, load, display, layout",42725813
20,20,3,0.6201,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",42887677
21,21,2,0.5483,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",43192304
22,22,0,0.98,"link, categori, render, react, prop, function, children, load, display, layout",43335553
23,23,3,0.6883,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",43416132
24,24,1,0.5529,"blog, await, link, tag, date, function, project, fetch, index, prop",45134512
25,25,0,0.7294,"link, categori, render, react, prop, function, children, load, display, layout",45178205
26,26,0,0.8847,"link, categori, render, react, prop, function, children, load, display, layout",45431517
27,27,3,0.8774,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",45552697
28,28,3,0.7173,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",45847445
29,29,2,0.5299,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",45895597
30,30,3,0.5949,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",46561916
31,31,2,0.5163,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",46582257
32,32,1,0.691,"blog, await, link, tag, date, function, project, fetch, index, prop",46618907
33,33,1,0.4762,"blog, await, link, tag, date, function, project, fetch, index, prop",46661315
34,34,0,0.9775,"link, categori, render, react, prop, function, children, load, display, layout",46818641
35,35,1,0.5613,"blog, await, link, tag, date, function, project, fetch, index, prop",47064987
36,36,1,0.6317,"blog, await, link, tag, date, function, project, fetch, index, prop",47065849
37,37,2,0.535,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",47113575
38,38,3,0.47,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",47115125
39,39,2,0.5251,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",47163572
40,40,2,0.5267,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",47230483
41,41,2,0.9584,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",47313856
42,42,3,0.9571,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",47373455
43,43,3,0.9424,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",47413588
44,44,3,0.981,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",47556177
45,45,0,0.9838,"link, categori, render, react, prop, function, children, load, display, layout",47844290
46,46,1,0.3012,"blog, await, link, tag, date, function, project, fetch, index, prop",47912625
47,47,2,0.9246,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",47917508
48,48,3,0.8134,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48130697
49,49,3,0.6617,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48141627
50,50,0,0.7696,"link, categori, render, react, prop, function, children, load, display, layout",48154962
51,51,2,0.9726,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",48160397
52,52,3,0.6195,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48171417
53,53,0,0.9875,"link, categori, render, react, prop, function, children, load, display, layout",48245837
54,54,3,0.4069,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48255528
55,55,1,0.6539,"blog, await, link, tag, date, function, project, fetch, index, prop",48259283
56,56,0,0.5036,"link, categori, render, react, prop, function, children, load, display, layout",48329511
57,57,3,0.4596,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48330796
58,58,2,0.9046,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",48371065
59,59,3,0.7104,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48375842
60,60,3,0.9213,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48376109
61,61,2,0.5809,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",48405711
62,62,3,0.4992,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48438109
63,63,1,0.8473,"blog, await, link, tag, date, function, project, fetch, index, prop",48448788
64,64,3,0.5512,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48504208
65,65,3,0.6853,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48507135
66,66,0,0.8639,"link, categori, render, react, prop, function, children, load, display, layout",48518153
67,67,1,0.9475,"blog, await, link, tag, date, function, project, fetch, index, prop",48521865
68,68,1,0.729,"blog, await, link, tag, date, function, project, fetch, index, prop",48522224
69,69,2,0.8421,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",48532299
70,70,0,0.9748,"link, categori, render, react, prop, function, children, load, display, layout",48545139
71,71,0,0.4943,"link, categori, render, react, prop, function, children, load, display, layout",48548765
72,72,0,0.944,"link, categori, render, react, prop, function, children, load, display, layout",48569330
73,73,0,0.6529,"link, categori, render, react, prop, function, children, load, display, layout",48574545
74,74,1,0.6307,"blog, await, link, tag, date, function, project, fetch, index, prop",48582268
75,75,2,0.9104,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",48602047
76,76,0,0.7551,"link, categori, render, react, prop, function, children, load, display, layout",48622031
77,77,2,0.8865,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",48622524
78,78,2,0.9679,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",48654140
79,79,0,0.7756,"link, categori, render, react, prop, function, children, load, display, layout",48674376
80,80,2,0.8005,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",48725049
81,81,3,0.9607,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48727849
82,82,3,0.9333,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48791938
83,83,3,0.965,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48808226
84,84,3,0.821,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48808508
85,85,0,0.5806,"link, categori, render, react, prop, function, children, load, display, layout",48808639
86,86,3,0.9336,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48868241
87,87,3,0.9117,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48868374
88,88,2,0.9108,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",48869273
89,89,2,0.9432,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",48869410
90,90,3,0.9606,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48869515
91,91,1,0.5177,"blog, await, link, tag, date, function, project, fetch, index, prop",48947808
92,92,0,0.9729,"link, categori, render, react, prop, function, children, load, display, layout",48965279
93,93,3,0.382,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",48968214
94,94,1,0.9492,"blog, await, link, tag, date, function, project, fetch, index, prop",48992431
95,95,3,0.8205,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",49013029
96,96,3,0.5591,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",49252456
97,97,3,0.903,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",49256393
98,98,3,0.6811,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",49294243
99,99,2,0.711,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",49295397
100,100,0,0.7856,"link, categori, render, react, prop, function, children, load, display, layout",49459904
101,101,1,0.9474,"blog, await, link, tag, date, function, project, fetch, index, prop",49473007
102,102,3,0.9027,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",49503756
103,103,1,0.4905,"blog, await, link, tag, date, function, project, fetch, index, prop",49548297
104,104,1,0.6775,"blog, await, link, tag, date, function, project, fetch, index, prop",49585944
105,105,0,0.5178,"link, categori, render, react, prop, function, children, load, display, layout",49586022
106,106,1,0.6811,"blog, await, link, tag, date, function, project, fetch, index, prop",49620497
107,107,3,0.6738,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",49626331
108,108,0,0.9568,"link, categori, render, react, prop, function, children, load, display, layout",49626890
109,109,3,0.9497,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",49638280
110,110,0,0.8489,"link, categori, render, react, prop, function, children, load, display, layout",49765770
111,111,3,0.9744,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",49840202
112,112,3,0.5981,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",49840319
113,113,0,0.4949,"link, categori, render, react, prop, function, children, load, display, layout",49959745
114,114,3,0.7384,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",50007271
115,115,3,0.9293,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",50017929
116,116,3,0.7585,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",50053461
117,117,0,0.9846,"link, categori, render, react, prop, function, children, load, display, layout",50092230
118,118,1,0.9737,"blog, await, link, tag, date, function, project, fetch, index, prop",50097742
119,119,1,0.928,"blog, await, link, tag, date, function, project, fetch, index, prop",50103817
120,120,3,0.651,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",50141404
121,121,3,0.5964,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",50163650
122,122,1,0.71,"blog, await, link, tag, date, function, project, fetch, index, prop",50181028
123,123,2,0.9348,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",50200608
124,124,2,0.8008,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",50202830
125,125,0,0.9909,"link, categori, render, react, prop, function, children, load, display, layout",50206298
126,126,2,0.9808,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",50208552
127,127,2,0.5312,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",50242492
128,128,2,0.5485,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",50298392
129,129,3,0.5439,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",50360295
130,130,2,0.9576,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",50441219
131,131,0,0.6928,"link, categori, render, react, prop, function, children, load, display, layout",50559580
132,132,2,0.9297,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",50692127
133,133,2,0.9572,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",50703452
134,134,1,0.5971,"blog, await, link, tag, date, function, project, fetch, index, prop",50730157
135,135,3,0.9822,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",50770217
136,136,2,0.7237,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",50889853
137,137,3,0.9067,"plugin, site, img, wordpress, build, resolv, childimagesharp_fluid, schema, document, fetch",50910734
138,138,2,0.9776,"frontmatt, filter, eq, markdown, templat, resolv, pass, html, createpag, folder",50948996
