,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.5968,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",21335190
1,1,3,0.915,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",30815755
2,2,1,0.9586,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",34229603
3,3,3,0.4673,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",34455310
4,4,2,0.6519,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",34474791
5,5,4,0.9813,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",36603559
6,6,4,0.7561,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",36759503
7,7,0,0.7976,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",36914918
8,8,0,0.9569,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",37759699
9,9,0,0.7065,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",37761053
10,10,2,0.5664,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",37898408
11,11,0,0.9594,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",38121215
12,12,3,0.5499,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",38240599
13,13,3,0.592,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",38244749
14,14,0,0.9369,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",38990215
15,15,4,0.8853,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",39042606
16,16,1,0.7727,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",39078141
17,17,2,0.6546,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",39260203
18,18,1,0.9647,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",39631379
19,19,1,0.689,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",40004570
20,20,2,0.5106,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",40099580
21,21,1,0.6141,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",40173841
22,22,4,0.6388,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",40177252
23,23,1,0.9808,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",40233996
24,24,2,0.4656,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",40256331
25,25,1,0.9677,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",40329185
26,26,1,0.9376,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",40384179
27,27,2,0.9458,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",40552401
28,28,2,0.6123,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",40553857
29,29,0,0.5859,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",40738245
30,30,2,0.9545,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",40783129
31,31,4,0.5943,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",40843037
32,32,4,0.9183,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",40897997
33,33,2,0.9716,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",41051523
34,34,2,0.9593,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",41052830
35,35,4,0.5576,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",41407620
36,36,4,0.9643,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",41428545
37,37,4,0.4715,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",41428749
38,38,4,0.5596,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",41440026
39,39,0,0.5612,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",41440228
40,40,4,0.4691,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",41449871
41,41,3,0.8362,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",41480833
42,42,1,0.9711,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",41510880
43,43,1,0.9522,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",41515679
44,44,2,0.7277,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",41548398
45,45,0,0.7416,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",41589542
46,46,4,0.6366,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",41590735
47,47,3,0.4988,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",41624257
48,48,0,0.6255,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",41655731
49,49,0,0.9671,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",41708845
50,50,0,0.5145,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",41818791
51,51,2,0.7269,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",41824836
52,52,0,0.798,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",41907998
53,53,4,0.9592,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",41988844
54,54,4,0.9511,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",42041371
55,55,3,0.4117,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",42089652
56,56,1,0.5337,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",42133065
57,57,2,0.8941,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",42136144
58,58,0,0.9726,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",42150191
59,59,4,0.5703,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",42152227
60,60,4,0.6355,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",42174205
61,61,3,0.5941,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",42176169
62,62,2,0.7808,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",42180567
63,63,3,0.9751,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",42400721
64,64,0,0.4346,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",42402129
65,65,3,0.4584,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",42580527
66,66,2,0.4062,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",42652622
67,67,4,0.4442,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",42753287
68,68,1,0.9893,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",42854797
69,69,2,0.9609,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",42930307
70,70,4,0.6404,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",42935168
71,71,2,0.5165,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",43003056
72,72,0,0.5533,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",43089002
73,73,0,0.5711,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",43108800
74,74,4,0.7219,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",43124540
75,75,4,0.897,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",43163595
76,76,1,0.9644,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",43496704
77,77,0,0.8659,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",43567006
78,78,0,0.4488,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",43721279
79,79,1,0.9451,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",43804288
80,80,2,0.543,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",43840383
81,81,0,0.9852,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",43998487
82,82,3,0.5555,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",44015084
83,83,2,0.9675,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",44043903
84,84,0,0.9902,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",44069982
85,85,4,0.9357,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",44129614
86,86,4,0.9726,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",44216678
87,87,3,0.439,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",44524594
88,88,4,0.8366,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",44527530
89,89,0,0.5829,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",44571756
90,90,0,0.8931,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",44624069
91,91,2,0.4262,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",44808291
92,92,4,0.9924,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",44970133
93,93,0,0.8841,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",44970191
94,94,0,0.7947,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",44971475
95,95,4,0.9549,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",44974548
96,96,2,0.5872,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",44981794
97,97,4,0.6429,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",45009330
98,98,0,0.4861,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",45076977
99,99,0,0.6716,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",45122525
100,100,3,0.4894,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",45154661
101,101,3,0.6678,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",45205474
102,102,1,0.9085,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",45229258
103,103,4,0.9629,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",45253821
104,104,0,0.6766,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",45281977
105,105,3,0.3876,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",45283241
106,106,0,0.7966,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",45309342
107,107,4,0.9353,"depend_groupid, test, bean, artifactid_version, privat, depend, project, version, groupid_artifactid, usernam",45312904
108,108,0,0.4036,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",45463735
109,109,1,0.9738,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",45598911
110,110,2,0.9697,"servic, configur, await, task, project, val, privat_readon, _, argument, public_void",45850404
111,111,0,0.9568,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",45852050
112,112,3,0.904,"final, static, extend, token, child, await, overrid, graphqlclient, void, widget",45922127
113,113,0,0.9095,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",45957329
114,114,0,0.6598,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",45974869
115,115,0,0.4182,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",46033944
116,116,0,0.562,"privat, map, overrid, val, public_void, java, entiti, function, annot, extend",46071425
117,117,1,0.9543,"scalar, date, const, datetim, json, serial, graphqlscalartyp, field_x, extend, function",46074133
