,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.7484,"test, prisma, info, expect, db, connect, databas, mock, event, email",27633353
1,1,3,0.6411,"connect, port, databas, db, modul, express, playground, start, password, apolloserv",32349022
2,2,0,0.9183,"test, prisma, info, expect, db, connect, databas, mock, event, email",34202004
3,3,0,0.5414,"test, prisma, info, expect, db, connect, databas, mock, event, email",35070316
4,4,0,0.6617,"test, prisma, info, expect, db, connect, databas, mock, event, email",35080671
5,5,3,0.796,"connect, port, databas, db, modul, express, playground, start, password, apolloserv",35948316
6,6,0,0.4658,"test, prisma, info, expect, db, connect, databas, mock, event, email",36084529
7,7,1,0.8376,"express, typedef, apolloserv, typedef_resolv, subscript, port, pubsub, httpserver, makeexecutableschema, readi",36243927
8,8,3,0.9866,"connect, port, databas, db, modul, express, playground, start, password, apolloserv",36781512
9,9,2,0.7955,"servic, class, datasourc, gateway, key, extend, field, modul, feder, ctx",37148864
10,10,0,0.884,"test, prisma, info, expect, db, connect, databas, mock, event, email",37237673
11,11,1,0.7958,"express, typedef, apolloserv, typedef_resolv, subscript, port, pubsub, httpserver, makeexecutableschema, readi",37336869
12,12,1,0.6786,"express, typedef, apolloserv, typedef_resolv, subscript, port, pubsub, httpserver, makeexecutableschema, readi",37336928
13,13,0,0.8645,"test, prisma, info, expect, db, connect, databas, mock, event, email",37604613
14,14,3,0.4395,"connect, port, databas, db, modul, express, playground, start, password, apolloserv",37800555
15,15,2,0.6873,"servic, class, datasourc, gateway, key, extend, field, modul, feder, ctx",37995394
16,16,3,0.7905,"connect, port, databas, db, modul, express, playground, start, password, apolloserv",38993058
17,17,0,0.5138,"test, prisma, info, expect, db, connect, databas, mock, event, email",39060764
18,18,0,0.6152,"test, prisma, info, expect, db, connect, databas, mock, event, email",39279578
19,19,0,0.5583,"test, prisma, info, expect, db, connect, databas, mock, event, email",39412263
20,20,2,0.5698,"servic, class, datasourc, gateway, key, extend, field, modul, feder, ctx",39653166
21,21,3,0.6715,"connect, port, databas, db, modul, express, playground, start, password, apolloserv",39765513
22,22,0,0.8827,"test, prisma, info, expect, db, connect, databas, mock, event, email",40045975
23,23,2,0.6599,"servic, class, datasourc, gateway, key, extend, field, modul, feder, ctx",40124494
24,24,0,0.5215,"test, prisma, info, expect, db, connect, databas, mock, event, email",40286310
25,25,3,0.6358,"connect, port, databas, db, modul, express, playground, start, password, apolloserv",40449367
26,26,2,0.5205,"servic, class, datasourc, gateway, key, extend, field, modul, feder, ctx",40541391
27,27,0,0.5654,"test, prisma, info, expect, db, connect, databas, mock, event, email",41103597
28,28,0,0.659,"test, prisma, info, expect, db, connect, databas, mock, event, email",41370144
29,29,1,0.6114,"express, typedef, apolloserv, typedef_resolv, subscript, port, pubsub, httpserver, makeexecutableschema, readi",41424728
30,30,1,0.8647,"express, typedef, apolloserv, typedef_resolv, subscript, port, pubsub, httpserver, makeexecutableschema, readi",41477965
31,31,2,0.6853,"servic, class, datasourc, gateway, key, extend, field, modul, feder, ctx",41486401
32,32,3,0.5106,"connect, port, databas, db, modul, express, playground, start, password, apolloserv",41560906
33,33,2,0.5966,"servic, class, datasourc, gateway, key, extend, field, modul, feder, ctx",41603497
34,34,2,0.6994,"servic, class, datasourc, gateway, key, extend, field, modul, feder, ctx",41708231
35,35,0,0.9709,"test, prisma, info, expect, db, connect, databas, mock, event, email",41712608
36,36,2,0.9818,"servic, class, datasourc, gateway, key, extend, field, modul, feder, ctx",41722767
37,37,0,0.6377,"test, prisma, info, expect, db, connect, databas, mock, event, email",41737106
38,38,0,0.7052,"test, prisma, info, expect, db, connect, databas, mock, event, email",42133734
39,39,1,0.822,"express, typedef, apolloserv, typedef_resolv, subscript, port, pubsub, httpserver, makeexecutableschema, readi",42377255
40,40,3,0.7189,"connect, port, databas, db, modul, express, playground, start, password, apolloserv",42885957
41,41,1,0.7725,"express, typedef, apolloserv, typedef_resolv, subscript, port, pubsub, httpserver, makeexecutableschema, readi",42888193
42,42,3,0.6173,"connect, port, databas, db, modul, express, playground, start, password, apolloserv",42903666
43,43,1,0.9262,"express, typedef, apolloserv, typedef_resolv, subscript, port, pubsub, httpserver, makeexecutableschema, readi",42923468
