,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,2,0.7778,"support, backend, databas, tri, project, code, help, function, perform, librari",11059833
1,1,2,0.7109,"support, backend, databas, tri, project, code, help, function, perform, librari",11072288
2,2,1,0.7889,"subscript, const, error, tri, connect, websocket, new, compon, code, subscrib",11345677
3,3,1,0.5746,"subscript, const, error, tri, connect, websocket, new, compon, code, subscrib",12355896
4,4,2,0.469,"support, backend, databas, tri, project, code, help, function, perform, librari",13609203
5,5,1,0.8622,"subscript, const, error, tri, connect, websocket, new, compon, code, subscrib",13618628
6,6,2,0.9766,"support, backend, databas, tri, project, code, help, function, perform, librari",14370296
7,7,2,0.9639,"support, backend, databas, tri, project, code, help, function, perform, librari",14505776
8,8,2,0.9454,"support, backend, databas, tri, project, code, help, function, perform, librari",14505983
9,9,2,0.6519,"support, backend, databas, tri, project, code, help, function, perform, librari",14528146
10,10,2,0.9414,"support, backend, databas, tri, project, code, help, function, perform, librari",14563570
11,11,1,0.5934,"subscript, const, error, tri, connect, websocket, new, compon, code, subscrib",15643726
12,12,3,0.9085,"id, string, const, subscript, resolv, error, event, name, messag, field",15663186
13,13,2,0.5068,"support, backend, databas, tri, project, code, help, function, perform, librari",16151409
14,14,2,0.9173,"support, backend, databas, tri, project, code, help, function, perform, librari",16152486
15,15,2,0.8314,"support, backend, databas, tri, project, code, help, function, perform, librari",16559572
16,16,1,0.8236,"subscript, const, error, tri, connect, websocket, new, compon, code, subscrib",16732091
17,17,1,0.5227,"subscript, const, error, tri, connect, websocket, new, compon, code, subscrib",16732804
18,18,2,0.5351,"support, backend, databas, tri, project, code, help, function, perform, librari",17170400
19,19,1,0.5745,"subscript, const, error, tri, connect, websocket, new, compon, code, subscrib",17170944
20,20,2,0.9194,"support, backend, databas, tri, project, code, help, function, perform, librari",17404600
21,21,2,0.8378,"support, backend, databas, tri, project, code, help, function, perform, librari",17449386
