,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.9936,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",20597388
1,1,0,0.9799,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",32171792
2,2,0,0.9545,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",32172173
3,3,0,0.966,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",32493836
4,4,0,0.8936,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",32815329
5,5,0,0.6379,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",33057585
6,6,0,0.9315,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",34199982
7,7,0,0.5972,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",34321205
8,8,0,0.8546,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",35094678
9,9,0,0.9805,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",35918520
10,10,0,0.9634,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",36498486
11,11,1,0.9672,"form, load, react, compon, usest, button, state, usemut, submit, render",37017372
12,12,0,0.9623,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",37107738
13,13,0,0.9239,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",37709250
14,14,0,0.8888,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",37779826
15,15,0,0.7086,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",38597515
16,16,0,0.5434,"messag, firstnam, createus, lastnam, __typenam, schema, phone, firstnam_lastnam, arg, class",39133634
